timestamp,accX,accY,accZ
2,0.99,0.10,0.05
15,0.99,0.10,0.05
28,0.99,0.10,0.05
41,0.99,0.10,0.05
54,0.97,0.11,0.06
68,0.99,0.11,0.06
81,1.00,0.10,0.08
94,0.98,0.15,0.04
107,1.00,0.13,0.04
120,1.00,0.11,0.01
135,1.00,0.11,0.02
148,1.01,0.12,0.01
161,1.01,0.12,-0.00
175,1.00,0.10,-0.01
188,0.99,0.09,-0.01
202,0.99,0.06,-0.01
215,0.99,0.04,-0.01
229,1.00,0.03,-0.02
243,0.99,0.03,-0.03
256,0.99,0.02,-0.03
269,0.94,-0.02,-0.03
283,0.93,-0.08,-0.02
297,0.92,-0.10,-0.01
311,0.92,-0.12,-0.04
325,0.88,-0.09,-0.07
339,0.90,-0.09,-0.08
353,0.86,-0.10,-0.09
367,0.84,-0.13,-0.08
381,0.84,-0.16,-0.07
395,0.84,-0.15,-0.08
409,0.84,-0.13,-0.08
423,0.84,-0.07,-0.08
437,0.84,-0.00,-0.09
451,0.84,0.03,-0.09
464,0.84,0.10,-0.10
477,0.83,0.12,-0.10
491,0.84,0.16,-0.11
505,0.84,0.19,-0.11
519,0.83,0.20,-0.11
532,0.81,0.20,-0.10
545,0.80,0.20,-0.09
558,0.80,0.20,-0.08
572,0.79,0.21,-0.07
586,0.77,0.23,-0.06
599,0.76,0.24,-0.05
613,0.76,0.24,-0.05
627,0.72,0.28,-0.05
641,0.72,0.31,-0.04
655,0.72,0.34,-0.04
669,0.72,0.40,-0.05
682,0.72,0.43,-0.05
696,0.68,0.51,-0.07
710,0.65,0.55,-0.08
724,0.65,0.56,-0.07
737,0.65,0.59,-0.08
750,0.63,0.61,-0.07
763,0.62,0.65,-0.07
777,0.60,0.67,-0.07
791,0.59,0.67,-0.07
805,0.56,0.68,-0.05
818,0.55,0.67,-0.05
831,0.51,0.69,-0.04
845,0.49,0.70,-0.03
859,0.46,0.72,-0.02
873,0.42,0.75,-0.00
887,0.40,0.77,-0.00
900,0.36,0.80,-0.01
913,0.35,0.81,-0.00
927,0.36,0.82,-0.00
941,0.36,0.86,-0.01
954,0.35,0.90,-0.02
968,0.31,0.98,-0.04
982,0.29,1.04,-0.06
995,0.28,1.05,-0.06
1008,0.26,1.08,-0.03
1022,0.26,1.10,-0.03
1035,0.26,1.11,-0.02
1048,0.27,1.12,-0.02
1062,0.26,1.17,-0.06
1076,0.20,1.19,-0.07
1089,0.18,1.18,-0.05
1102,0.16,1.14,-0.02
1116,0.16,1.13,-0.01
1129,0.15,1.12,-0.00
1143,0.13,1.13,-0.01
1156,0.11,1.14,-0.01
1170,0.07,1.13,-0.01
1183,0.05,1.11,-0.01
1197,0.01,1.10,0.00
1211,-0.00,1.09,0.00
1224,-0.01,1.08,0.01
1237,-0.01,1.09,0.00
1251,-0.02,1.10,-0.00
1265,-0.02,1.12,0.00
1278,-0.03,1.13,0.00
1292,-0.05,1.14,0.02
1306,-0.07,1.16,0.02
1319,-0.08,1.17,0.02
1332,-0.09,1.17,0.03
1345,-0.10,1.16,0.03
1358,-0.13,1.15,0.04
1372,-0.14,1.14,0.04
1386,-0.13,1.13,0.03
1400,-0.15,1.12,0.02
1414,-0.17,1.12,0.01
1428,-0.20,1.11,-0.01
1442,-0.21,1.07,-0.01
1456,-0.21,1.07,-0.02
1470,-0.21,1.06,-0.04
1484,-0.21,1.05,-0.04
1498,-0.20,1.04,-0.05
1512,-0.18,1.10,-0.07
1526,-0.18,1.13,-0.08
1540,-0.16,1.20,-0.08
1554,-0.17,1.21,-0.07
1568,-0.18,1.19,-0.04
1582,-0.18,1.13,0.01
1596,-0.19,1.11,0.08
1609,-0.21,1.09,0.11
1623,-0.25,1.10,0.11
1637,-0.26,1.08,0.10
1651,-0.26,1.07,0.07
1664,-0.26,1.10,0.00
1677,-0.26,1.10,-0.01
1691,-0.28,1.08,-0.03
1705,-0.28,1.06,-0.04
1719,-0.28,1.01,-0.05
1732,-0.28,0.97,-0.05
1746,-0.30,0.95,-0.05
1760,-0.30,0.93,-0.05
1774,-0.30,0.94,-0.05
1788,-0.29,0.94,-0.05
1802,-0.30,0.95,-0.05
1815,-0.32,0.96,-0.04
1829,-0.31,0.95,-0.03
1843,-0.30,0.95,-0.03
1857,-0.31,0.95,-0.03
1871,-0.31,0.95,-0.02
1885,-0.31,0.95,-0.02
1899,-0.30,0.94,-0.03
1913,-0.32,0.94,-0.03
1927,-0.32,0.94,-0.02
1941,-0.31,0.94,-0.03
1954,-0.31,0.94,-0.04
1968,-0.31,0.94,-0.04
1982,-0.31,0.94,-0.05
1996,-0.30,0.94,-0.05
2010,-0.29,0.94,-0.06
2024,-0.28,0.94,-0.06
2038,-0.28,0.94,-0.06
2051,-0.30,0.95,-0.06
2065,-0.31,0.94,-0.05
2079,-0.31,0.94,-0.06
2092,-0.31,0.93,-0.05
2105,-0.31,0.93,-0.05
2119,-0.29,0.93,-0.05
2133,-0.30,0.95,-0.06
2147,-0.30,0.95,-0.06
2161,-0.29,0.95,-0.06
2174,-0.30,0.95,-0.06
2188,-0.31,0.94,-0.05
2202,-0.30,0.93,-0.05
2216,-0.29,0.93,-0.05
2230,-0.28,0.94,-0.05
2244,-0.29,0.95,-0.06
2258,-0.29,0.95,-0.06
2272,-0.29,0.94,-0.06
2286,-0.29,0.93,-0.05
2299,-0.29,0.92,-0.04
2313,-0.29,0.92,-0.03
2327,-0.30,0.92,-0.03
2341,-0.30,0.94,-0.04
2355,-0.30,0.95,-0.04
2369,-0.30,0.95,-0.04
2383,-0.29,0.95,-0.04
2397,-0.29,0.91,-0.04
2411,-0.29,0.93,-0.05
2425,-0.30,0.93,-0.05
2438,-0.30,0.93,-0.05
2452,-0.30,0.93,-0.05
2466,-0.30,0.94,-0.05
2480,-0.30,0.95,-0.05
2494,-0.29,0.95,-0.05
2508,-0.28,0.95,-0.05
2522,-0.29,0.95,-0.05
2536,-0.28,0.95,-0.05
2550,-0.28,0.95,-0.05
2564,-0.28,0.95,-0.04
2578,-0.29,0.96,-0.04
2592,-0.29,0.96,-0.04
2606,-0.29,0.96,-0.04
2620,-0.30,0.96,-0.03
2634,-0.30,0.95,-0.02
2648,-0.28,0.93,-0.01
2662,-0.29,0.92,-0.02
2676,-0.29,0.92,-0.02
2690,-0.30,0.93,-0.02
2704,-0.29,0.93,-0.03
2718,-0.28,0.93,-0.04
2732,-0.28,0.94,-0.04
