timestamp,accX,accY,accZ
2,0.73,0.26,1.03
16,0.72,0.43,1.41
29,0.76,0.59,1.85
43,0.80,0.59,1.88
56,0.81,0.39,1.64
70,0.78,0.10,1.18
83,0.77,-0.07,0.90
97,0.82,-0.41,0.36
110,0.84,-0.55,0.11
123,0.85,-0.75,-0.27
137,0.86,-0.79,-0.48
151,0.85,-0.76,-0.50
165,0.86,-0.56,-0.28
179,0.87,-0.39,-0.05
193,0.92,0.01,0.53
206,0.93,0.38,1.14
220,0.93,0.51,1.35
233,0.95,0.56,1.53
246,0.94,0.49,1.50
260,0.90,0.27,1.23
274,0.85,0.01,0.87
288,0.84,-0.10,0.69
302,0.83,-0.28,0.34
315,0.82,-0.35,0.21
328,0.78,-0.40,0.01
342,0.75,-0.38,-0.07
356,0.72,-0.33,-0.06
369,0.68,-0.22,-0.01
383,0.66,-0.17,0.02
397,0.64,-0.09,0.08
411,0.62,-0.04,0.19
424,0.61,-0.02,0.24
438,0.61,-0.01,0.31
452,0.62,-0.03,0.34
466,0.68,-0.06,0.40
480,0.79,-0.04,0.57
494,0.85,0.01,0.70
508,0.95,0.11,1.01
521,1.04,0.23,1.30
535,1.06,0.27,1.38
549,1.11,0.25,1.38
563,1.11,0.20,1.30
576,1.06,0.11,1.04
590,1.00,-0.06,0.67
603,0.98,-0.14,0.47
617,0.95,-0.33,0.04
631,0.95,-0.43,-0.15
645,0.90,-0.55,-0.48
658,0.83,-0.70,-0.59
672,0.74,-0.66,-0.64
686,0.68,-0.56,-0.49
700,0.65,-0.27,-0.09
714,0.66,-0.10,0.18
728,0.74,0.33,0.85
742,0.75,0.53,1.17
756,0.80,0.73,1.55
770,0.84,0.65,1.54
784,0.83,0.53,1.42
798,0.79,0.23,1.07
812,0.76,-0.11,0.65
826,0.76,-0.28,0.45
840,0.79,-0.58,0.09
854,0.81,-0.73,-0.16
868,0.80,-0.74,-0.21
882,0.77,-0.67,-0.19
895,0.76,-0.54,-0.06
909,0.77,-0.18,0.40
922,0.82,0.24,0.99
935,0.81,0.44,1.28
949,0.83,0.64,1.60
963,0.83,0.63,1.61
977,0.80,0.41,1.38
990,0.74,0.07,0.97
1003,0.73,-0.10,0.75
1016,0.72,-0.38,0.33
1030,0.73,-0.49,0.15
1044,0.73,-0.61,-0.12
1058,0.73,-0.60,-0.27
1071,0.71,-0.53,-0.28
1085,0.70,-0.34,-0.13
1099,0.71,-0.19,0.03
1112,0.73,0.09,0.41
1125,0.76,0.21,0.62
1138,0.78,0.40,1.00
1152,0.80,0.44,1.21
1166,0.79,0.41,1.25
1179,0.78,0.25,1.18
1193,0.74,0.14,1.07
1207,0.74,-0.16,0.77
1221,0.74,-0.39,0.46
1235,0.75,-0.47,0.31
1249,0.76,-0.53,0.13
1263,0.73,-0.46,0.09
1277,0.72,-0.41,0.11
1291,0.76,-0.21,0.34
1305,0.78,-0.03,0.79
1318,0.83,0.35,1.05
1331,0.85,0.59,1.41
1344,0.87,0.61,1.48
