timestamp,accX,accY,accZ
2,1.01,-0.00,0.08
15,1.00,0.01,0.07
28,1.00,0.02,0.07
42,0.99,0.02,0.07
55,0.99,0.01,0.07
68,0.99,-0.00,0.07
81,0.99,0.01,0.06
94,1.00,0.01,0.06
107,1.00,0.01,0.06
120,1.00,0.02,0.06
133,1.00,0.02,0.05
146,1.00,0.03,0.05
159,1.00,0.02,0.05
172,0.99,0.02,0.05
185,0.98,0.01,0.05
198,0.98,0.00,0.04
211,0.96,-0.00,0.03
224,0.95,-0.00,0.03
237,0.92,-0.02,0.02
250,0.90,-0.05,0.03
263,0.87,-0.10,0.03
276,0.86,-0.11,0.02
289,0.84,-0.13,0.00
302,0.83,-0.13,0.00
315,0.80,-0.14,0.01
328,0.80,-0.14,0.01
341,0.79,-0.12,0.01
354,0.80,-0.11,0.02
368,0.80,-0.07,0.02
382,0.81,-0.02,0.03
395,0.81,0.01,0.03
408,0.80,0.06,0.02
421,0.80,0.07,0.02
434,0.78,0.07,0.03
447,0.77,0.06,0.04
460,0.78,0.04,0.04
473,0.77,0.06,0.03
486,0.76,0.14,0.02
499,0.75,0.17,0.01
512,0.75,0.23,0.00
525,0.75,0.25,-0.00
538,0.77,0.30,-0.01
551,0.76,0.33,-0.02
564,0.74,0.40,-0.03
577,0.73,0.46,-0.03
590,0.73,0.48,-0.03
603,0.75,0.52,-0.03
616,0.74,0.54,-0.03
630,0.71,0.59,-0.02
643,0.70,0.59,-0.02
656,0.68,0.58,-0.01
669,0.67,0.57,-0.00
682,0.65,0.56,0.00
695,0.64,0.56,0.01
708,0.61,0.60,0.01
721,0.60,0.61,0.01
734,0.59,0.64,0.01
747,0.59,0.66,0.01
760,0.58,0.71,0.00
773,0.55,0.76,-0.00
787,0.54,0.78,0.01
800,0.55,0.81,0.01
813,0.54,0.83,0.00
826,0.53,0.89,-0.01
840,0.53,0.91,-0.02
853,0.52,0.94,-0.04
866,0.50,0.93,-0.03
879,0.51,0.94,-0.05
892,0.50,0.95,-0.07
905,0.47,0.97,-0.10
918,0.43,0.99,-0.07
931,0.43,1.01,-0.09
944,0.44,1.04,-0.07
957,0.43,1.06,-0.07
970,0.41,1.10,-0.06
983,0.41,1.11,-0.05
996,0.38,1.13,-0.06
1009,0.36,1.11,-0.06
1022,0.30,1.08,-0.02
1035,0.29,1.06,-0.01
1048,0.26,1.01,0.01
1061,0.24,0.99,0.02
1074,0.21,0.98,0.04
1087,0.20,0.99,0.04
1100,0.16,1.01,0.05
1113,0.15,1.00,0.06
1126,0.13,1.01,0.07
1139,0.11,1.02,0.07
1152,0.10,1.03,0.07
1165,0.09,1.04,0.07
1178,0.04,1.05,0.07
1191,0.03,1.05,0.05
1204,0.01,1.04,0.05
1217,0.00,1.01,0.05
1230,0.01,1.01,0.05
1243,-0.02,1.02,0.03
1256,-0.03,1.03,0.02
1269,-0.08,1.05,0.00
1282,-0.10,1.04,-0.00
1296,-0.12,1.01,0.00
1310,-0.13,1.00,0.00
1323,-0.13,1.00,-0.03
1336,-0.14,1.02,-0.06
1349,-0.16,1.05,-0.09
1362,-0.22,1.07,-0.09
1375,-0.22,1.06,-0.08
1389,-0.21,1.01,-0.04
1402,-0.22,1.01,-0.00
1415,-0.18,1.05,-0.00
1428,-0.19,1.09,0.02
1441,-0.20,1.18,0.04
1454,-0.21,1.21,0.06
1467,-0.23,1.27,0.12
1480,-0.21,1.28,0.14
1493,-0.20,1.26,0.18
1506,-0.21,1.26,0.18
1519,-0.20,1.28,0.16
1532,-0.20,1.29,0.10
1545,-0.21,1.26,0.09
1559,-0.19,1.21,0.04
1572,-0.20,1.20,0.02
1585,-0.24,1.19,-0.02
1598,-0.27,1.17,-0.03
1611,-0.27,1.10,-0.05
1624,-0.28,1.07,-0.05
1637,-0.30,1.03,-0.05
1650,-0.30,1.01,-0.05
1664,-0.31,1.02,-0.06
1677,-0.32,0.98,-0.05
1690,-0.32,0.97,-0.04
1703,-0.34,0.97,-0.01
1716,-0.34,0.97,0.00
1729,-0.34,0.98,0.03
1742,-0.33,0.98,0.04
1755,-0.34,0.99,0.06
1768,-0.34,0.98,0.07
1781,-0.35,0.98,0.07
1794,-0.35,0.96,0.08
1807,-0.36,0.94,0.08
1820,-0.36,0.92,0.08
1833,-0.37,0.90,0.07
1846,-0.37,0.89,0.07
1859,-0.38,0.88,0.07
1872,-0.37,0.89,0.07
1885,-0.37,0.91,0.07
1898,-0.38,0.91,0.07
1912,-0.37,0.91,0.09
1925,-0.37,0.90,0.10
1938,-0.38,0.90,0.09
1951,-0.38,0.90,0.08
1964,-0.37,0.89,0.08
1977,-0.37,0.90,0.06
1990,-0.37,0.90,0.06
2003,-0.36,0.89,0.07
2016,-0.35,0.90,0.07
2030,-0.35,0.90,0.07
2044,-0.37,0.91,0.06
2058,-0.37,0.91,0.05
