timestamp,accX,accY,accZ
1,0.99,0.01,0.01
15,1.00,0.01,0.00
28,1.00,0.02,0.00
41,1.00,0.03,-0.00
55,1.00,0.03,-0.01
68,1.00,0.03,-0.01
82,1.00,0.03,-0.00
95,1.00,0.02,-0.00
108,0.99,0.01,0.00
121,0.99,-0.00,0.01
135,1.00,-0.00,0.01
148,0.99,-0.00,0.01
161,0.99,-0.01,0.02
174,0.98,-0.01,0.01
187,0.96,-0.02,0.01
201,0.95,-0.04,0.01
215,0.93,-0.07,0.01
229,0.92,-0.09,0.00
242,0.90,-0.10,0.00
255,0.86,-0.13,0.00
268,0.84,-0.15,0.00
282,0.82,-0.18,0.00
296,0.84,-0.17,-0.02
310,0.83,-0.15,-0.04
324,0.79,-0.08,-0.07
338,0.79,-0.04,-0.08
352,0.78,0.02,-0.11
365,0.78,0.05,-0.11
379,0.78,0.04,-0.09
393,0.82,0.02,-0.07
406,0.83,0.01,-0.07
419,0.83,-0.00,-0.06
433,0.83,0.01,-0.06
447,0.83,0.02,-0.06
460,0.82,0.04,-0.06
474,0.81,0.06,-0.06
487,0.80,0.10,-0.06
500,0.80,0.12,-0.06
514,0.77,0.16,-0.05
527,0.77,0.18,-0.03
541,0.77,0.20,-0.03
555,0.76,0.24,-0.02
568,0.76,0.26,-0.02
582,0.74,0.32,-0.01
595,0.74,0.38,-0.02
608,0.73,0.42,-0.03
621,0.70,0.50,-0.04
634,0.68,0.53,-0.05
648,0.65,0.58,-0.05
662,0.65,0.59,-0.03
675,0.65,0.61,0.00
688,0.65,0.65,0.02
702,0.66,0.65,0.02
716,0.63,0.71,0.01
729,0.60,0.74,0.01
742,0.57,0.77,0.00
755,0.56,0.77,0.01
768,0.53,0.77,0.02
782,0.50,0.75,0.03
795,0.49,0.74,0.04
809,0.48,0.75,0.05
823,0.47,0.77,0.04
837,0.42,0.82,0.02
851,0.37,0.85,0.01
864,0.34,0.86,0.00
877,0.30,0.87,0.01
890,0.29,0.88,0.01
903,0.26,0.91,0.01
916,0.25,0.92,0.01
929,0.23,0.97,0.01
942,0.21,1.00,0.00
955,0.16,1.08,-0.02
969,0.14,1.12,-0.03
