timestamp,accX,accY,accZ
2,0.98,0.12,0.02
16,0.98,0.13,0.02
29,0.98,0.14,0.01
42,0.98,0.14,0.01
56,0.98,0.14,0.02
69,0.98,0.13,0.02
83,0.99,0.13,0.02
97,0.99,0.14,0.02
111,0.99,0.15,0.01
124,0.99,0.15,0.01
137,0.99,0.16,0.00
150,0.99,0.16,0.01
163,0.99,0.15,0.01
176,0.99,0.15,0.01
190,0.99,0.15,0.01
203,1.00,0.15,0.01
217,1.00,0.16,0.01
230,1.00,0.16,0.01
244,1.00,0.15,0.02
258,1.00,0.15,0.02
271,1.00,0.15,0.02
285,1.00,0.15,0.02
299,0.99,0.15,0.02
312,0.99,0.14,0.03
325,0.99,0.14,0.03
338,0.99,0.14,0.02
351,0.99,0.15,0.02
364,0.99,0.14,0.02
377,0.99,0.14,0.02
390,0.99,0.14,0.02
403,0.99,0.15,0.02
416,0.98,0.15,0.02
430,0.97,0.14,0.03
443,0.95,0.10,0.04
457,0.95,0.08,0.04
471,0.94,0.05,0.04
485,0.93,0.06,0.03
499,0.92,0.06,0.02
512,0.91,0.05,-0.01
526,0.89,0.04,-0.02
539,0.87,0.01,-0.02
552,0.85,-0.04,-0.01
566,0.83,-0.07,0.00
580,0.82,-0.09,0.00
594,0.81,-0.10,0.00
607,0.82,-0.07,-0.01
621,0.82,-0.01,-0.03
635,0.82,0.02,-0.04
648,0.82,0.08,-0.06
661,0.82,0.11,-0.07
674,0.81,0.16,-0.09
688,0.81,0.18,-0.10
701,0.80,0.21,-0.11
715,0.81,0.25,-0.11
728,0.80,0.27,-0.12
742,0.82,0.34,-0.13
755,0.81,0.37,-0.14
769,0.80,0.43,-0.15
782,0.80,0.44,-0.19
795,0.77,0.43,-0.12
808,0.76,0.44,-0.15
822,0.76,0.42,-0.13
835,0.76,0.44,-0.11
849,0.76,0.47,-0.12
863,0.73,0.49,-0.10
876,0.71,0.53,-0.10
889,0.70,0.50,-0.10
902,0.68,0.50,-0.09
916,0.68,0.49,-0.09
930,0.63,0.50,-0.10
944,0.63,0.50,-0.09
958,0.63,0.53,-0.11
972,0.61,0.60,-0.12
985,0.61,0.62,-0.13
998,0.61,0.69,-0.16
1012,0.59,0.68,-0.16
1026,0.53,0.73,-0.16
1040,0.56,0.76,-0.17
1054,0.54,0.79,-0.15
1067,0.53,0.83,-0.13
1080,0.53,0.86,-0.13
1094,0.52,0.87,-0.11
1108,0.49,0.88,-0.09
1121,0.49,0.89,-0.10
1134,0.48,0.87,-0.09
1148,0.47,0.88,-0.08
1162,0.45,0.90,-0.07
1176,0.44,0.96,-0.07
1190,0.43,0.99,-0.07
1204,0.41,1.01,-0.06
1218,0.37,0.99,-0.05
1232,0.34,0.96,-0.04
1246,0.32,0.91,-0.05
1260,0.27,0.88,-0.09
1273,0.24,0.88,-0.10
1287,0.19,0.87,-0.09
1300,0.18,0.88,-0.09
1314,0.20,0.93,-0.12
1328,0.20,0.98,-0.15
1342,0.15,1.00,-0.16
1355,0.11,1.02,-0.16
1368,0.09,1.02,-0.16
1382,0.07,1.02,-0.14
1396,0.06,1.04,-0.13
1409,0.05,1.09,-0.13
1423,0.03,1.12,-0.13
1437,0.02,1.14,-0.10
1450,0.00,1.19,-0.11
1464,-0.04,1.18,-0.16
1478,-0.08,1.18,-0.13
1492,-0.07,1.17,-0.10
1506,-0.06,1.15,-0.11
1520,-0.05,1.17,-0.08
1534,-0.04,1.21,-0.09
1548,-0.03,1.22,-0.09
1562,-0.02,1.25,-0.08
1576,-0.02,1.28,-0.08
1590,-0.02,1.30,-0.07
1604,-0.02,1.30,-0.05
1618,-0.02,1.29,-0.02
1632,-0.04,1.28,-0.01
1646,-0.06,1.24,0.00
1660,-0.07,1.21,0.00
1673,-0.08,1.17,-0.01
1687,-0.12,1.17,-0.03
1701,-0.14,1.16,-0.03
1715,-0.14,1.12,-0.03
1728,-0.14,1.10,-0.03
1741,-0.14,1.06,-0.03
1754,-0.14,1.06,-0.03
1768,-0.14,1.05,-0.03
1781,-0.15,1.06,-0.05
1794,-0.16,1.08,-0.05
1808,-0.16,1.07,-0.05
1821,-0.16,1.06,-0.05
1835,-0.14,1.04,-0.04
1849,-0.15,1.04,-0.05
1862,-0.16,1.05,-0.05
1876,-0.18,1.05,-0.06
1890,-0.18,1.05,-0.07
1903,-0.17,1.04,-0.07
1917,-0.16,1.02,-0.07
1931,-0.16,1.02,-0.07
1945,-0.17,1.00,-0.08
1959,-0.17,0.99,-0.08
1973,-0.19,0.99,-0.09
1987,-0.20,0.98,-0.09
2001,-0.19,0.97,-0.09
2014,-0.19,0.96,-0.09
2028,-0.20,0.96,-0.08
2042,-0.20,0.96,-0.08
2056,-0.20,0.95,-0.06
2069,-0.20,0.95,-0.05
2082,-0.21,0.96,-0.01
2096,-0.19,0.93,0.02
2110,-0.19,0.94,0.01
2123,-0.22,0.95,0.01
2136,-0.22,0.94,0.01
2150,-0.19,0.94,0.01
2164,-0.20,0.96,-0.01
2178,-0.21,0.97,-0.02
2192,-0.20,0.98,-0.03
2206,-0.19,0.97,-0.03
2219,-0.18,0.97,-0.03
2232,-0.17,0.97,-0.04
2246,-0.17,0.96,-0.05
2260,-0.18,0.96,-0.06
2274,-0.18,0.95,-0.06
2288,-0.18,0.96,-0.08
2302,-0.17,0.97,-0.09
2316,-0.18,0.98,-0.09
2330,-0.18,0.97,-0.07
2344,-0.17,0.97,-0.06
2357,-0.17,0.97,-0.05
2370,-0.17,0.98,-0.05
2384,-0.18,0.98,-0.05
2398,-0.17,0.98,-0.04
2412,-0.17,0.98,-0.05
2426,-0.18,0.99,-0.04
2440,-0.18,0.98,-0.04
2454,-0.18,0.98,-0.03
2468,-0.17,0.97,-0.03
2482,-0.16,0.97,-0.04
2496,-0.16,0.97,-0.04
2510,-0.17,0.97,-0.04
2523,-0.19,0.98,-0.05
2537,-0.19,0.98,-0.04
2551,-0.18,0.96,-0.03
2565,-0.17,0.96,-0.03
2578,-0.17,0.96,-0.04
2592,-0.18,0.97,-0.04
2606,-0.18,0.97,-0.04
2620,-0.17,0.96,-0.04
2634,-0.17,0.95,-0.04
2648,-0.17,0.96,-0.03
2662,-0.17,0.96,-0.03
2676,-0.17,0.98,-0.03
2690,-0.17,0.98,-0.03
2704,-0.16,0.98,-0.03
2717,-0.16,0.99,-0.03
