timestamp,accX,accY,accZ
1,1.00,0.07,0.05
15,1.00,0.08,0.04
28,1.00,0.08,0.04
41,0.99,0.06,0.05
54,1.00,0.07,0.04
67,0.98,0.03,0.06
80,0.99,0.03,0.07
93,0.99,0.04,0.05
106,0.99,0.04,0.05
119,0.99,0.05,0.05
132,0.98,0.05,0.05
145,0.97,0.04,0.05
158,0.96,0.04,0.05
171,0.96,0.02,0.05
185,0.93,-0.02,0.05
199,0.92,-0.04,0.05
213,0.88,-0.08,0.04
227,0.85,-0.14,0.04
241,0.85,-0.17,0.04
254,0.84,-0.20,0.05
267,0.83,-0.19,0.05
280,0.81,-0.17,0.03
293,0.80,-0.15,0.03
306,0.79,-0.12,0.01
319,0.77,-0.10,0.01
332,0.75,-0.07,0.00
345,0.75,-0.06,-0.00
359,0.73,-0.02,-0.01
372,0.71,0.03,-0.01
385,0.71,0.05,-0.02
398,0.71,0.12,-0.03
412,0.71,0.15,-0.04
425,0.70,0.22,-0.05
439,0.69,0.25,-0.05
453,0.69,0.31,-0.06
466,0.68,0.36,-0.05
479,0.69,0.38,-0.05
493,0.68,0.44,-0.05
506,0.68,0.47,-0.05
519,0.67,0.51,-0.03
533,0.68,0.53,-0.02
547,0.68,0.58,-0.03
560,0.67,0.63,-0.04
574,0.66,0.65,-0.03
587,0.63,0.66,-0.01
600,0.62,0.67,0.01
613,0.61,0.68,0.03
626,0.62,0.70,0.03
639,0.61,0.75,0.03
652,0.60,0.78,0.03
665,0.58,0.81,0.04
679,0.57,0.85,0.02
693,0.57,0.87,0.00
707,0.52,0.89,-0.02
720,0.50,0.88,-0.02
733,0.46,0.87,0.00
746,0.45,0.87,0.02
760,0.45,0.91,0.03
774,0.45,0.96,-0.00
787,0.45,0.97,-0.01
800,0.40,0.98,-0.02
814,0.37,0.97,-0.02
828,0.30,0.96,0.01
841,0.30,0.97,0.03
854,0.31,0.99,0.00
867,0.29,1.04,-0.04
880,0.25,1.06,-0.05
894,0.19,1.05,-0.02
908,0.17,1.03,0.01
921,0.14,1.00,0.08
934,0.14,1.02,0.09
947,0.13,1.07,0.07
960,0.12,1.11,0.05
973,0.11,1.12,0.04
986,0.08,1.11,0.04
999,0.05,1.11,0.05
1013,0.02,1.11,0.05
1026,0.02,1.11,0.06
1039,0.02,1.14,0.04
1052,0.01,1.14,0.02
1065,-0.02,1.15,-0.00
1078,-0.04,1.14,-0.01
1092,-0.07,1.12,-0.02
1105,-0.08,1.09,-0.02
1118,-0.08,1.09,-0.02
1132,-0.09,1.08,-0.03
1146,-0.10,1.07,-0.04
1160,-0.11,1.08,-0.04
1174,-0.13,1.08,-0.06
1188,-0.14,1.09,-0.07
1202,-0.17,1.07,-0.07
1216,-0.18,1.06,-0.07
1230,-0.19,1.05,-0.07
1243,-0.20,1.04,-0.06
1257,-0.20,1.05,-0.06
1271,-0.21,1.07,-0.06
1285,-0.23,1.07,-0.05
1299,-0.24,1.07,-0.04
1312,-0.25,1.06,-0.03
1326,-0.23,1.05,-0.00
1340,-0.20,1.07,0.03
1354,-0.19,1.17,0.05
1367,-0.18,1.22,0.05
1380,-0.20,1.30,0.04
1394,-0.21,1.29,0.05
1408,-0.22,1.21,0.09
1421,-0.22,1.13,0.10
1434,-0.24,1.12,0.09
1447,-0.25,1.05,0.06
1460,-0.25,1.04,0.04
1473,-0.26,1.05,-0.00
1487,-0.24,1.06,-0.02
1500,-0.24,1.10,-0.07
1513,-0.25,1.10,-0.07
1527,-0.26,1.11,-0.10
1541,-0.27,1.08,-0.10
1555,-0.28,1.05,-0.08
1569,-0.29,1.00,-0.07
1582,-0.30,0.99,-0.07
1596,-0.31,0.97,-0.08
1610,-0.33,0.95,-0.08
1624,-0.33,0.94,-0.08
1637,-0.33,0.92,-0.06
1651,-0.33,0.92,-0.05
1665,-0.33,0.92,-0.04
1679,-0.33,0.93,-0.03
1693,-0.33,0.94,-0.03
1707,-0.33,0.96,-0.03
1720,-0.33,0.95,-0.04
1734,-0.33,0.95,-0.04
1748,-0.34,0.93,-0.03
1762,-0.33,0.92,-0.04
1776,-0.33,0.93,-0.04
1789,-0.33,0.95,-0.05
1803,-0.33,0.94,-0.05
1816,-0.34,0.93,-0.04
1830,-0.35,0.93,-0.04
1843,-0.34,0.90,-0.02
1857,-0.34,0.88,-0.00
1871,-0.34,0.89,-0.01
1885,-0.35,0.91,-0.01
1899,-0.35,0.92,-0.02
1912,-0.35,0.92,-0.02
1926,-0.35,0.92,-0.02
1940,-0.34,0.92,-0.02
1954,-0.34,0.92,-0.01
1967,-0.33,0.92,-0.00
1981,-0.33,0.93,-0.01
1994,-0.32,0.95,-0.02
2007,-0.32,0.95,-0.02
2020,-0.32,0.95,-0.03
2034,-0.33,0.95,-0.03
2048,-0.33,0.94,-0.03
2062,-0.33,0.93,-0.02
2076,-0.32,0.92,-0.02
2090,-0.33,0.91,-0.03
2104,-0.34,0.91,-0.03
2118,-0.34,0.91,-0.02
2131,-0.33,0.92,-0.02
2145,-0.33,0.92,-0.03
2159,-0.33,0.93,-0.02
2173,-0.33,0.93,-0.02
2186,-0.33,0.94,-0.03
2199,-0.33,0.94,-0.04
2213,-0.33,0.94,-0.04
2226,-0.32,0.93,-0.04
2239,-0.32,0.93,-0.04
2253,-0.32,0.94,-0.04
2267,-0.32,0.95,-0.04
2281,-0.32,0.95,-0.04
2295,-0.32,0.95,-0.03
2309,-0.32,0.95,-0.03
2323,-0.32,0.95,-0.03
2336,-0.33,0.94,-0.02
2350,-0.32,0.94,-0.01
2363,-0.32,0.94,-0.01
2377,-0.32,0.95,-0.01
2390,-0.32,0.96,-0.01
2403,-0.32,0.95,-0.01
2416,-0.32,0.94,-0.01
2430,-0.32,0.93,-0.01
2444,-0.34,0.94,-0.01
2458,-0.34,0.94,-0.01
2471,-0.33,0.93,-0.02
2484,-0.32,0.93,-0.02
2498,-0.33,0.92,-0.02
2511,-0.33,0.93,-0.02
2525,-0.32,0.92,-0.02
2539,-0.32,0.92,-0.02
2553,-0.32,0.92,-0.02
2567,-0.32,0.93,-0.03
2580,-0.32,0.94,-0.04
2593,-0.32,0.94,-0.04
2606,-0.32,0.95,-0.05
2619,-0.32,0.95,-0.05
2633,-0.32,0.94,-0.05
2647,-0.32,0.94,-0.04
2660,-0.31,0.94,-0.04
2674,-0.32,0.94,-0.03
2687,-0.32,0.94,-0.03
