timestamp,accX,accY,accZ
2,0.92,0.24,0.13
16,0.92,0.25,0.12
29,0.92,0.26,0.11
42,0.92,0.27,0.11
55,0.92,0.25,0.10
68,0.92,0.23,0.11
81,0.91,0.22,0.11
94,0.92,0.21,0.12
107,0.93,0.21,0.12
120,0.93,0.23,0.13
133,0.94,0.23,0.14
147,0.96,0.23,0.14
160,0.96,0.23,0.14
174,0.97,0.24,0.14
187,0.96,0.24,0.14
200,0.96,0.25,0.14
213,0.96,0.27,0.14
226,0.99,0.28,0.14
239,1.03,0.31,0.14
252,1.07,0.32,0.14
266,1.12,0.35,0.17
279,1.13,0.38,0.18
292,1.13,0.45,0.18
305,1.13,0.47,0.18
318,1.13,0.50,0.17
332,1.12,0.51,0.24
345,1.10,0.52,0.27
358,1.08,0.52,0.33
371,1.07,0.50,0.36
384,1.01,0.42,0.41
397,0.98,0.37,0.43
410,0.93,0.26,0.44
424,0.90,0.22,0.46
437,0.85,0.13,0.48
450,0.83,0.08,0.48
463,0.81,0.00,0.48
476,0.79,-0.02,0.47
490,0.74,-0.02,0.42
503,0.69,-0.03,0.38
517,0.67,-0.05,0.35
530,0.63,-0.06,0.29
543,0.63,-0.07,0.25
557,0.59,-0.08,0.18
570,0.58,-0.09,0.15
584,0.53,-0.08,0.08
597,0.52,-0.07,0.01
611,0.51,-0.06,-0.03
624,0.52,-0.03,-0.10
637,0.50,0.02,-0.13
650,0.46,0.14,-0.21
663,0.46,0.19,-0.24
676,0.49,0.23,-0.30
689,0.51,0.26,-0.35
703,0.53,0.32,-0.42
716,0.50,0.41,-0.48
730,0.50,0.44,-0.51
744,0.52,0.48,-0.55
757,0.54,0.50,-0.56
771,0.51,0.54,-0.59
785,0.56,0.57,-0.64
798,0.56,0.60,-0.65
812,0.57,0.67,-0.67
826,0.57,0.72,-0.66
839,0.55,0.80,-0.65
852,0.55,0.85,-0.62
865,0.59,0.87,-0.62
879,0.62,0.89,-0.59
892,0.60,0.91,-0.58
905,0.56,0.92,-0.59
919,0.55,0.90,-0.58
933,0.51,0.85,-0.56
947,0.53,0.84,-0.52
961,0.51,0.89,-0.51
975,0.50,0.94,-0.51
988,0.49,0.96,-0.50
1001,0.48,0.97,-0.51
1014,0.46,0.97,-0.51
1028,0.42,0.94,-0.50
1041,0.38,0.88,-0.47
1054,0.37,0.86,-0.46
1068,0.37,0.86,-0.44
1081,0.37,0.88,-0.44
1094,0.35,0.93,-0.43
1108,0.33,1.01,-0.43
1121,0.31,1.03,-0.41
1135,0.33,1.08,-0.39
1148,0.33,1.10,-0.39
1162,0.32,1.14,-0.37
1176,0.32,1.15,-0.35
1190,0.30,1.17,-0.34
1203,0.29,1.19,-0.32
1217,0.29,1.19,-0.30
1231,0.30,1.22,-0.29
1245,0.31,1.26,-0.28
1258,0.32,1.28,-0.27
1272,0.32,1.30,-0.25
1285,0.32,1.31,-0.24
1299,0.31,1.31,-0.21
1312,0.32,1.31,-0.20
1325,0.34,1.34,-0.19
1339,0.35,1.37,-0.18
1352,0.36,1.38,-0.17
1365,0.39,1.39,-0.14
1378,0.39,1.38,-0.12
1391,0.40,1.40,-0.10
1405,0.39,1.43,-0.11
1418,0.40,1.45,-0.11
1432,0.40,1.45,-0.11
1445,0.38,1.43,-0.10
1458,0.37,1.36,-0.05
1471,0.37,1.33,-0.03
1484,0.38,1.29,-0.00
1497,0.39,1.28,-0.00
1511,0.40,1.26,-0.00
1524,0.39,1.24,0.00
1537,0.39,1.16,0.04
1551,0.39,1.12,0.06
1564,0.40,1.06,0.10
1578,0.41,1.02,0.14
1591,0.42,0.99,0.16
1605,0.44,0.96,0.19
1618,0.46,0.95,0.21
1632,0.49,0.91,0.25
1645,0.50,0.89,0.27
1658,0.50,0.85,0.28
1671,0.53,0.80,0.31
1685,0.53,0.79,0.32
1699,0.55,0.79,0.34
1713,0.56,0.78,0.35
1726,0.57,0.73,0.36
1739,0.58,0.67,0.37
1752,0.61,0.64,0.37
1765,0.60,0.58,0.36
1778,0.62,0.55,0.36
1791,0.63,0.49,0.37
1804,0.65,0.49,0.36
1817,0.66,0.48,0.34
1831,0.67,0.46,0.33
1844,0.69,0.42,0.32
1857,0.70,0.39,0.31
1870,0.71,0.32,0.31
1883,0.71,0.29,0.30
1896,0.72,0.24,0.29
1909,0.73,0.23,0.27
1922,0.75,0.20,0.24
1935,0.75,0.16,0.21
1948,0.75,0.16,0.20
1961,0.75,0.14,0.16
1974,0.74,0.12,0.14
1987,0.73,0.06,0.12
2000,0.73,0.04,0.11
2013,0.74,-0.00,0.10
2027,0.76,-0.02,0.10
2041,0.78,-0.02,0.08
2054,0.78,-0.02,0.07
2068,0.78,-0.01,0.05
2082,0.79,-0.01,0.03
2096,0.79,0.00,0.02
2109,0.80,0.01,-0.00
2123,0.84,0.01,-0.02
2137,0.84,0.03,-0.02
2150,0.83,0.09,-0.03
2163,0.84,0.12,-0.04
2177,0.90,0.14,-0.08
2191,0.92,0.16,-0.10
2205,0.93,0.18,-0.11
2219,0.96,0.23,-0.12
2233,0.96,0.26,-0.12
2246,0.96,0.30,-0.12
2260,0.98,0.30,-0.11
2274,0.99,0.29,-0.11
2287,0.99,0.27,-0.12
2300,0.99,0.26,-0.12
2313,0.98,0.23,-0.12
2326,0.97,0.22,-0.13
2339,0.97,0.19,-0.14
2352,0.96,0.17,-0.14
2366,0.97,0.14,-0.14
2380,0.97,0.13,-0.13
2394,0.98,0.13,-0.13
2408,0.98,0.15,-0.13
2422,0.98,0.16,-0.13
2436,0.98,0.16,-0.13
2450,0.97,0.16,-0.13
2464,0.97,0.16,-0.11
2478,0.97,0.17,-0.11
2492,0.98,0.17,-0.10
2506,0.98,0.17,-0.09
2520,0.98,0.18,-0.07
2534,0.98,0.19,-0.06
2548,0.98,0.20,-0.06
2562,0.99,0.22,-0.06
2575,0.99,0.23,-0.06
2589,0.99,0.23,-0.05
2603,0.99,0.23,-0.04
2616,0.99,0.23,-0.04
2629,0.99,0.22,-0.03
2643,0.99,0.21,-0.02
2657,0.99,0.20,-0.01
2671,0.98,0.19,-0.01
