timestamp,accX,accY,accZ
2,0.98,0.18,0.05
15,0.98,0.18,0.04
28,0.98,0.18,0.04
41,0.98,0.17,0.05
55,0.98,0.16,0.06
68,0.99,0.17,0.07
81,1.00,0.17,0.07
94,1.00,0.17,0.07
108,0.99,0.19,0.05
121,0.99,0.20,0.05
135,0.98,0.20,0.06
148,0.98,0.18,0.08
162,0.99,0.18,0.09
176,0.99,0.18,0.09
189,0.99,0.18,0.09
202,0.99,0.17,0.09
215,0.98,0.18,0.08
229,0.99,0.18,0.09
242,0.99,0.18,0.08
255,1.00,0.18,0.08
269,1.00,0.18,0.07
282,1.00,0.18,0.07
295,1.01,0.18,0.07
309,1.02,0.17,0.07
322,1.02,0.17,0.08
336,1.03,0.18,0.09
349,1.04,0.19,0.09
363,1.04,0.20,0.11
376,1.05,0.20,0.12
389,1.04,0.22,0.14
402,1.03,0.23,0.16
415,1.03,0.23,0.22
428,1.03,0.24,0.26
441,1.02,0.27,0.33
454,1.03,0.27,0.36
468,1.00,0.23,0.40
481,0.98,0.18,0.41
494,0.97,0.17,0.41
508,0.93,0.11,0.44
522,0.94,0.09,0.43
536,0.92,0.07,0.41
549,0.90,0.07,0.39
562,0.88,0.08,0.38
575,0.87,0.09,0.33
588,0.86,0.09,0.31
601,0.85,0.07,0.27
614,0.84,0.05,0.25
627,0.82,0.03,0.21
640,0.81,0.02,0.19
653,0.82,0.00,0.14
667,0.81,0.02,0.11
680,0.81,0.04,0.04
693,0.80,0.07,0.01
707,0.81,0.10,-0.05
720,0.78,0.11,-0.09
733,0.78,0.10,-0.10
746,0.75,0.09,-0.14
759,0.78,0.06,-0.14
773,0.76,0.05,-0.16
787,0.77,0.07,-0.18
801,0.73,0.12,-0.23
815,0.73,0.17,-0.27
828,0.71,0.20,-0.28
842,0.73,0.22,-0.31
856,0.69,0.25,-0.33
870,0.68,0.25,-0.34
883,0.66,0.22,-0.34
896,0.65,0.20,-0.34
909,0.69,0.19,-0.37
922,0.66,0.22,-0.40
935,0.60,0.29,-0.46
949,0.58,0.33,-0.49
963,0.57,0.34,-0.52
977,0.57,0.35,-0.55
991,0.57,0.34,-0.57
1005,0.54,0.35,-0.64
1018,0.52,0.38,-0.74
1032,0.49,0.39,-0.77
1046,0.50,0.40,-0.80
1060,0.50,0.42,-0.81
