timestamp,accX,accY,accZ
2,0.59,0.20,0.77
15,0.60,0.19,0.77
28,0.59,0.19,0.77
41,0.59,0.19,0.77
54,0.58,0.21,0.76
67,0.57,0.22,0.76
81,0.58,0.22,0.77
95,0.60,0.21,0.76
109,0.61,0.20,0.76
122,0.60,0.20,0.76
135,0.59,0.20,0.76
149,0.57,0.21,0.75
163,0.57,0.21,0.75
176,0.57,0.20,0.75
189,0.56,0.19,0.75
202,0.57,0.18,0.75
216,0.58,0.18,0.75
229,0.58,0.18,0.74
243,0.60,0.19,0.71
256,0.63,0.20,0.70
270,0.68,0.21,0.66
283,0.70,0.26,0.59
296,0.72,0.29,0.56
309,0.80,0.41,0.49
322,0.81,0.52,0.45
335,0.74,0.74,0.33
349,0.72,0.80,0.29
363,0.75,0.80,0.23
376,0.74,0.80,0.22
390,0.63,0.80,0.25
403,0.61,0.88,0.38
417,0.54,0.95,0.43
430,0.43,0.91,0.62
443,0.39,0.81,0.75
456,0.29,0.67,0.97
469,0.25,0.63,1.04
483,0.11,0.54,1.24
497,0.03,0.40,1.43
511,-0.01,0.37,1.50
524,-0.05,0.26,1.58
537,-0.09,0.20,1.59
550,-0.15,0.01,1.60
563,-0.15,-0.11,1.60
576,-0.18,-0.30,1.53
590,-0.17,-0.41,1.42
604,-0.14,-0.47,1.35
618,-0.11,-0.51,1.18
632,-0.11,-0.54,1.07
646,-0.09,-0.61,0.84
660,-0.08,-0.72,0.66
674,-0.08,-0.77,0.60
687,-0.07,-0.80,0.53
700,-0.07,-0.80,0.50
713,-0.08,-0.78,0.49
727,-0.12,-0.76,0.59
741,-0.16,-0.74,0.65
755,-0.25,-0.73,0.78
769,-0.34,-0.67,0.91
783,-0.35,-0.58,0.99
796,-0.41,-0.33,1.17
809,-0.40,-0.19,1.30
822,-0.50,0.04,1.58
835,-0.53,0.12,1.73
849,-0.47,0.39,1.91
863,-0.39,0.67,1.97
877,-0.27,0.85,1.94
891,-0.08,1.15,1.84
904,-0.01,1.27,1.77
918,0.19,1.37,1.58
932,0.39,1.34,1.37
945,0.49,1.37,1.26
958,0.59,1.39,1.02
971,0.62,1.34,0.88
985,0.67,1.14,0.62
998,0.68,1.04,0.50
1012,0.71,0.84,0.27
1025,0.73,0.62,0.08
1038,0.74,0.51,0.01
1051,0.73,0.32,-0.08
1064,0.74,0.25,-0.09
1077,0.78,0.13,-0.08
1090,0.79,0.06,-0.11
1104,0.80,-0.07,-0.07
1117,0.80,-0.13,-0.07
1131,0.83,-0.18,-0.02
1145,0.95,-0.10,0.08
1159,0.95,0.06,0.12
1173,0.93,0.23,0.22
1186,0.89,0.21,0.34
1199,0.83,0.02,0.56
1212,0.82,-0.04,0.71
1225,0.76,-0.05,0.74
1239,0.72,0.01,0.73
1253,0.67,0.02,0.70
1267,0.57,-0.12,0.68
1280,0.49,-0.24,0.67
1294,0.43,-0.50,0.65
1307,0.35,-0.70,0.59
1320,0.31,-0.77,0.57
1333,0.25,-0.93,0.56
1346,0.21,-0.98,0.57
1359,0.15,-1.09,0.56
1373,0.15,-1.08,0.58
1386,0.15,-0.95,0.62
1400,0.13,-0.71,0.58
1414,0.15,-0.58,0.58
1428,0.17,-0.32,0.65
1442,0.23,-0.16,0.73
1455,0.27,0.16,0.89
1468,0.33,0.47,1.14
1481,0.37,0.56,1.29
1495,0.47,0.61,1.51
1508,0.52,0.61,1.56
1522,0.61,0.68,1.58
1535,0.67,0.76,1.52
1548,0.75,0.90,1.32
1561,0.78,0.92,1.20
1574,0.85,0.88,0.93
1587,0.86,0.83,0.79
1600,0.89,0.73,0.55
1614,0.91,0.66,0.34
1628,0.93,0.64,0.23
1642,0.97,0.61,0.05
1656,0.98,0.58,-0.09
1670,0.97,0.55,-0.14
1683,0.96,0.52,-0.18
1697,0.95,0.52,-0.18
1710,0.93,0.52,-0.19
1723,0.91,0.54,-0.17
1736,0.86,0.61,-0.11
1750,0.82,0.73,-0.01
1764,0.79,0.78,0.05
1778,0.74,0.92,0.21
1792,0.68,1.07,0.41
1805,0.62,1.13,0.52
1818,0.52,1.15,0.75
1831,0.45,1.12,0.87
1844,0.30,1.05,1.05
1857,0.17,0.99,1.14
1871,0.01,0.86,1.45
1885,-0.02,0.82,1.59
1899,-0.10,0.66,1.82
1912,-0.09,0.31,2.01
1926,-0.10,0.14,2.01
1940,-0.11,-0.12,1.94
1954,-0.14,-0.31,1.81
1967,-0.13,-0.39,1.75
1980,-0.15,-0.47,1.58
1993,-0.13,-0.48,1.49
2007,-0.05,-0.45,1.22
2021,-0.00,-0.41,1.09
2034,0.07,-0.41,0.87
2048,0.16,-0.45,0.70
2062,0.22,-0.47,0.61
2075,0.32,-0.48,0.44
2088,0.37,-0.47,0.36
2101,0.47,-0.44,0.25
2114,0.51,-0.41,0.21
2128,0.53,-0.31,0.15
2142,0.57,-0.21,0.11
2156,0.61,-0.17,0.11
2169,0.61,-0.08,0.11
2183,0.55,-0.05,0.12
2197,0.41,-0.07,0.21
2210,0.30,-0.22,0.38
2223,0.26,-0.32,0.49
2236,0.16,-0.53,0.72
2249,0.10,-0.64,0.85
2262,-0.08,-0.88,1.13
2276,-0.18,-0.96,1.26
2290,-0.31,-0.96,1.51
2304,-0.30,-0.57,1.65
2318,-0.30,-0.31,1.62
2331,-0.29,0.16,1.57
2344,-0.31,0.33,1.59
2357,-0.20,0.68,1.66
2370,-0.11,0.93,1.66
2384,0.16,1.43,1.57
2398,0.42,1.58,1.56
2411,0.50,1.54,1.57
2425,0.58,1.32,1.55
2438,0.61,1.18,1.51
2451,0.65,1.04,1.31
2464,0.64,0.99,1.18
2477,0.64,0.89,0.88
2490,0.67,0.83,0.71
2503,0.70,0.72,0.39
2516,0.72,0.65,0.25
2530,0.76,0.52,0.01
2544,0.82,0.41,-0.14
2558,0.84,0.39,-0.20
2572,0.87,0.39,-0.29
2585,0.88,0.40,-0.30
2598,0.88,0.41,-0.27
2611,0.86,0.46,-0.19
2624,0.84,0.52,-0.13
2638,0.79,0.68,0.02
2652,0.76,0.74,0.11
2666,0.70,0.81,0.32
2679,0.62,0.85,0.54
