timestamp,accX,accY,accZ
2,0.46,-0.14,0.88
16,0.46,-0.12,0.87
29,0.47,-0.13,0.86
42,0.48,-0.14,0.86
55,0.48,-0.16,0.86
68,0.48,-0.16,0.85
81,0.48,-0.18,0.84
94,0.48,-0.18,0.83
107,0.47,-0.17,0.84
121,0.47,-0.17,0.84
135,0.47,-0.15,0.84
149,0.47,-0.15,0.85
163,0.48,-0.15,0.85
177,0.49,-0.15,0.87
191,0.49,-0.14,0.87
205,0.49,-0.14,0.88
218,0.48,-0.14,0.88
232,0.47,-0.14,0.88
246,0.47,-0.14,0.87
260,0.47,-0.15,0.86
273,0.47,-0.16,0.86
286,0.48,-0.17,0.85
299,0.48,-0.17,0.85
312,0.48,-0.17,0.84
325,0.47,-0.16,0.84
338,0.47,-0.16,0.83
351,0.47,-0.16,0.83
364,0.47,-0.16,0.83
378,0.47,-0.16,0.84
391,0.48,-0.15,0.86
404,0.49,-0.14,0.87
418,0.49,-0.14,0.87
431,0.49,-0.14,0.88
445,0.48,-0.14,0.88
459,0.47,-0.14,0.86
473,0.47,-0.14,0.85
486,0.48,-0.15,0.85
500,0.48,-0.16,0.84
514,0.48,-0.16,0.84
527,0.48,-0.16,0.83
540,0.48,-0.16,0.83
553,0.47,-0.16,0.85
566,0.47,-0.15,0.86
579,0.47,-0.15,0.88
592,0.47,-0.14,0.89
605,0.47,-0.14,0.90
618,0.49,-0.16,0.90
631,0.50,-0.16,0.89
645,0.51,-0.15,0.87
659,0.51,-0.14,0.86
673,0.51,-0.11,0.83
686,0.50,-0.10,0.82
700,0.49,-0.08,0.78
714,0.51,-0.11,0.76
727,0.51,-0.12,0.74
741,0.49,-0.16,0.73
755,0.46,-0.19,0.83
769,0.43,-0.19,0.89
782,0.44,-0.16,0.98
795,0.45,-0.16,1.01
808,0.46,-0.18,1.04
821,0.47,-0.19,1.02
834,0.50,-0.22,0.93
847,0.51,-0.23,0.86
860,0.53,-0.23,0.72
873,0.54,-0.23,0.59
887,0.52,-0.22,0.53
901,0.49,-0.20,0.46
914,0.47,-0.20,0.45
927,0.43,-0.10,0.58
941,0.43,0.00,0.79
954,0.48,0.15,0.92
967,0.51,0.11,1.17
980,0.51,0.04,1.25
993,0.52,-0.11,1.27
1007,0.51,-0.16,1.23
1021,0.48,-0.26,1.08
1035,0.47,-0.33,0.87
1048,0.45,-0.34,0.76
1061,0.43,-0.31,0.56
1074,0.43,-0.28,0.50
1087,0.39,-0.25,0.47
1100,0.37,-0.19,0.58
1113,0.41,0.16,1.01
