timestamp,accX,accY,accZ
2,0.43,-0.05,0.90
16,0.42,-0.09,0.89
29,0.43,-0.10,0.89
43,0.43,-0.09,0.90
57,0.40,-0.06,0.88
70,0.40,-0.06,0.88
84,0.40,-0.08,0.89
98,0.40,-0.10,0.89
111,0.40,-0.14,0.90
125,0.39,-0.15,0.90
139,0.38,-0.15,0.90
152,0.38,-0.15,0.89
165,0.39,-0.14,0.89
178,0.39,-0.12,0.90
191,0.40,-0.11,0.91
204,0.43,-0.07,0.94
217,0.44,-0.04,0.96
230,0.53,0.06,1.02
243,0.57,0.22,1.03
257,0.56,0.28,1.00
271,0.62,0.41,0.99
285,0.65,0.48,1.02
298,0.68,0.64,1.01
311,0.64,0.71,0.96
324,0.60,0.61,0.88
338,0.60,0.39,0.84
351,0.61,0.34,0.85
364,0.59,0.23,0.78
378,0.58,0.18,0.75
391,0.50,0.09,0.68
404,0.47,0.03,0.65
418,0.36,-0.09,0.62
431,0.26,-0.20,0.61
444,0.19,-0.26,0.62
457,0.11,-0.33,0.63
471,0.07,-0.38,0.62
485,-0.00,-0.40,0.68
499,-0.11,-0.43,0.74
513,-0.12,-0.47,0.75
527,-0.15,-0.54,0.75
540,-0.15,-0.60,0.75
554,-0.16,-0.76,0.79
568,-0.16,-0.93,0.82
581,-0.15,-0.98,0.82
595,-0.13,-1.05,0.81
608,-0.12,-1.06,0.80
621,-0.12,-1.06,0.76
635,-0.12,-1.04,0.75
649,-0.12,-1.00,0.75
663,-0.15,-0.94,0.75
677,-0.16,-0.91,0.75
691,-0.20,-0.80,0.76
704,-0.22,-0.64,0.77
717,-0.24,-0.56,0.78
730,-0.29,-0.42,0.78
743,-0.31,-0.34,0.81
756,-0.35,-0.28,0.89
769,-0.37,-0.20,0.92
782,-0.36,-0.05,0.94
796,-0.34,-0.01,0.97
810,-0.33,0.05,0.99
824,-0.27,0.12,1.08
838,-0.26,0.09,1.12
852,-0.20,0.12,1.18
866,-0.13,0.26,1.20
880,-0.08,0.32,1.22
893,-0.03,0.49,1.36
907,-0.03,0.41,1.39
921,0.04,0.35,1.46
934,0.05,0.25,1.42
947,0.07,0.20,1.39
960,0.10,0.18,1.37
973,0.10,0.18,1.42
986,0.09,0.13,1.48
999,0.06,0.11,1.52
1012,0.00,0.04,1.57
1025,-0.02,0.02,1.60
1038,-0.08,0.00,1.53
1051,-0.10,-0.01,1.51
1065,-0.12,-0.01,1.43
1079,-0.08,0.00,1.38
1093,-0.07,0.03,1.32
1106,-0.04,0.04,1.24
1120,-0.02,0.03,1.20
1133,0.03,-0.00,1.08
1147,0.10,0.02,0.94
1160,0.16,0.01,0.86
1173,0.25,0.01,0.74
1187,0.27,-0.01,0.68
1201,0.33,-0.07,0.59
1214,0.36,-0.10,0.55
1227,0.42,-0.13,0.47
1240,0.45,-0.14,0.44
1253,0.50,-0.17,0.39
1266,0.52,-0.17,0.37
1279,0.56,-0.17,0.33
1292,0.60,-0.18,0.30
1306,0.62,-0.19,0.30
1320,0.62,-0.23,0.29
1334,0.62,-0.24,0.28
1348,0.62,-0.26,0.26
1362,0.64,-0.29,0.26
1376,0.66,-0.31,0.27
1390,0.67,-0.32,0.32
1404,0.63,-0.27,0.34
1417,0.62,-0.24,0.33
1431,0.59,-0.21,0.32
1444,0.58,-0.20,0.33
1458,0.54,-0.17,0.38
1471,0.50,-0.14,0.44
1484,0.49,-0.14,0.46
1497,0.45,-0.14,0.52
1510,0.42,-0.14,0.55
1523,0.36,-0.15,0.61
1536,0.35,-0.15,0.64
1549,0.30,-0.10,0.71
1562,0.27,-0.05,0.76
1575,0.21,0.05,0.91
1588,0.20,0.09,0.95
1602,0.20,0.05,1.05
1615,0.19,0.02,1.08
1629,0.16,-0.03,1.15
1642,0.09,-0.07,1.26
1656,0.06,-0.05,1.32
1670,0.02,0.01,1.34
1684,0.03,-0.05,1.42
1698,0.02,-0.10,1.45
1711,-0.02,-0.21,1.51
1725,-0.04,-0.24,1.50
1738,-0.04,-0.23,1.46
1751,-0.05,-0.21,1.43
1764,-0.05,-0.21,1.39
1777,-0.07,-0.21,1.41
1790,-0.10,-0.21,1.43
1803,-0.08,-0.21,1.43
1816,-0.08,-0.17,1.41
1830,-0.09,-0.13,1.42
1844,-0.09,-0.09,1.42
1857,-0.05,0.01,1.49
1871,-0.03,0.06,1.48
1885,-0.01,0.13,1.49
1899,-0.01,0.18,1.42
1912,-0.02,0.20,1.40
1926,0.03,0.23,1.28
1939,0.05,0.27,1.20
1952,0.13,0.32,1.04
1965,0.17,0.33,0.97
1979,0.29,0.34,0.81
1992,0.36,0.36,0.63
2005,0.42,0.36,0.54
2018,0.53,0.33,0.35
2031,0.57,0.29,0.27
2044,0.65,0.21,0.15
2057,0.68,0.18,0.11
2070,0.74,0.13,0.04
2084,0.76,0.11,0.01
2097,0.81,0.07,-0.02
2110,0.82,0.06,-0.02
2124,0.83,0.07,-0.01
2138,0.83,0.10,0.03
2152,0.84,0.12,0.05
2166,0.84,0.14,0.11
2180,0.83,0.16,0.19
2193,0.82,0.16,0.23
2206,0.80,0.18,0.33
2220,0.79,0.19,0.38
2233,0.76,0.17,0.47
2246,0.76,0.16,0.52
2259,0.73,0.13,0.59
2272,0.72,0.12,0.61
2285,0.70,0.11,0.66
2298,0.69,0.09,0.71
2311,0.65,0.07,0.73
2324,0.62,0.04,0.78
2337,0.60,0.02,0.81
2350,0.57,0.01,0.85
2363,0.56,0.00,0.86
2376,0.54,-0.01,0.89
2390,0.54,-0.02,0.90
2404,0.51,-0.02,0.92
2418,0.49,-0.03,0.94
2431,0.47,-0.04,0.95
2444,0.46,-0.06,0.96
2457,0.45,-0.08,0.97
2471,0.44,-0.10,0.97
2485,0.43,-0.10,0.97
2498,0.42,-0.11,0.97
2511,0.42,-0.11,0.97
2524,0.40,-0.11,0.97
2537,0.40,-0.13,0.98
2550,0.40,-0.13,0.98
2563,0.39,-0.14,0.98
2576,0.39,-0.14,0.98
2589,0.39,-0.14,0.97
2603,0.38,-0.14,0.96
2617,0.39,-0.13,0.95
2631,0.39,-0.13,0.94
2644,0.39,-0.14,0.94
2658,0.39,-0.14,0.93
2672,0.40,-0.14,0.93
