timestamp,accX,accY,accZ
1,1.02,0.21,0.00
15,1.02,0.27,-0.01
28,1.01,0.28,-0.01
41,1.00,0.27,-0.01
54,0.99,0.25,0.00
67,0.98,0.19,0.02
80,0.98,0.16,0.03
93,0.97,0.10,0.04
106,0.96,0.08,0.05
120,0.96,0.05,0.05
134,0.98,0.06,0.05
147,0.97,0.08,0.04
160,0.96,0.12,0.02
173,0.96,0.13,0.02
186,0.96,0.13,0.02
199,0.95,0.14,0.02
213,0.94,0.14,0.03
227,0.93,0.12,0.04
240,0.91,0.09,0.05
253,0.90,0.04,0.07
266,0.88,0.01,0.07
279,0.86,-0.02,0.07
292,0.85,-0.03,0.07
305,0.83,-0.06,0.06
318,0.82,-0.08,0.06
332,0.81,-0.08,0.05
346,0.80,-0.08,0.04
359,0.78,-0.06,0.03
373,0.79,-0.03,0.02
387,0.78,-0.01,0.01
400,0.78,0.05,-0.01
414,0.77,0.08,-0.01
427,0.75,0.13,-0.01
440,0.76,0.15,-0.01
453,0.76,0.20,-0.02
466,0.75,0.27,-0.02
479,0.74,0.30,-0.02
493,0.72,0.33,-0.02
506,0.72,0.34,-0.01
519,0.71,0.37,-0.01
532,0.70,0.38,-0.01
545,0.66,0.42,-0.02
558,0.64,0.44,-0.02
572,0.62,0.48,-0.02
585,0.61,0.49,-0.03
598,0.59,0.53,-0.03
611,0.56,0.56,-0.03
624,0.55,0.57,-0.04
637,0.53,0.60,-0.05
650,0.52,0.62,-0.05
663,0.49,0.67,-0.07
677,0.47,0.69,-0.08
690,0.44,0.72,-0.08
704,0.43,0.73,-0.08
718,0.42,0.76,-0.08
732,0.41,0.80,-0.10
745,0.39,0.82,-0.10
759,0.34,0.88,-0.10
772,0.32,0.90,-0.09
785,0.32,0.93,-0.08
798,0.33,0.96,-0.09
812,0.31,1.02,-0.12
826,0.25,1.04,-0.11
839,0.22,1.03,-0.10
853,0.21,0.99,-0.06
866,0.20,0.99,-0.04
879,0.20,1.03,-0.04
893,0.16,1.08,-0.06
906,0.15,1.09,-0.07
920,0.09,1.11,-0.04
933,0.08,1.11,-0.05
947,0.07,1.10,-0.02
960,0.06,1.09,-0.01
973,0.05,1.12,-0.02
986,0.01,1.13,-0.01
999,0.01,1.16,-0.02
1013,0.01,1.22,0.01
1026,0.01,1.25,0.01
1039,0.02,1.30,-0.02
1052,0.02,1.31,-0.04
1065,-0.00,1.26,-0.07
1079,-0.04,1.20,-0.08
1092,-0.10,1.12,-0.07
1106,-0.14,1.02,-0.04
1120,-0.16,1.01,-0.03
1134,-0.17,1.03,-0.02
1148,-0.13,1.12,-0.02
1162,-0.15,1.17,-0.01
1175,-0.15,1.25,0.01
1188,-0.14,1.26,0.02
1201,-0.16,1.24,0.04
1214,-0.17,1.22,0.04
1227,-0.18,1.16,0.02
1241,-0.18,1.13,0.01
1254,-0.21,1.11,-0.03
1268,-0.25,1.09,-0.06
1281,-0.25,1.08,-0.06
1294,-0.26,1.07,-0.06
1307,-0.25,1.07,-0.05
1321,-0.27,1.10,-0.03
1334,-0.26,1.12,-0.02
1348,-0.24,1.14,0.01
1361,-0.24,1.14,0.03
1374,-0.23,1.14,0.04
1387,-0.24,1.14,0.04
1401,-0.23,1.15,0.04
1415,-0.25,1.15,0.01
1429,-0.27,1.14,-0.00
1443,-0.29,1.07,-0.02
1456,-0.30,1.01,-0.02
1469,-0.32,0.99,-0.02
1482,-0.32,0.97,-0.03
1495,-0.32,0.98,-0.05
1509,-0.33,0.99,-0.08
1522,-0.33,0.99,-0.08
1536,-0.33,1.00,-0.09
1550,-0.32,1.01,-0.10
1563,-0.31,1.01,-0.10
1576,-0.31,1.03,-0.10
1589,-0.31,1.03,-0.10
1602,-0.32,1.02,-0.09
1616,-0.33,1.01,-0.08
1630,-0.33,0.98,-0.06
1643,-0.34,0.97,-0.05
1657,-0.35,0.97,-0.05
1670,-0.35,0.96,-0.04
1684,-0.36,0.95,-0.04
1698,-0.36,0.93,-0.04
1712,-0.37,0.92,-0.03
1726,-0.36,0.92,-0.03
1740,-0.36,0.93,-0.04
1753,-0.36,0.94,-0.05
1766,-0.37,0.94,-0.05
1780,-0.36,0.91,-0.05
1793,-0.36,0.90,-0.04
1807,-0.36,0.90,-0.05
1821,-0.37,0.90,-0.05
1835,-0.37,0.91,-0.05
1848,-0.37,0.91,-0.06
1861,-0.37,0.92,-0.06
1875,-0.38,0.91,-0.06
1888,-0.38,0.90,-0.06
1902,-0.37,0.89,-0.04
1916,-0.37,0.89,-0.04
1929,-0.37,0.89,-0.03
1942,-0.37,0.90,-0.03
1956,-0.37,0.90,-0.03
1970,-0.36,0.92,-0.03
1984,-0.36,0.93,-0.04
1998,-0.36,0.93,-0.04
2012,-0.37,0.93,-0.05
2026,-0.37,0.92,-0.05
2040,-0.37,0.91,-0.04
2053,-0.37,0.91,-0.04
2067,-0.37,0.91,-0.04
2081,-0.37,0.91,-0.04
2095,-0.37,0.90,-0.04
2109,-0.37,0.90,-0.04
2123,-0.37,0.90,-0.04
2136,-0.37,0.90,-0.04
2150,-0.37,0.91,-0.04
2164,-0.38,0.91,-0.03
2178,-0.37,0.91,-0.03
2191,-0.37,0.91,-0.03
2204,-0.36,0.90,-0.03
2218,-0.36,0.91,-0.03
2231,-0.36,0.92,-0.04
2245,-0.36,0.93,-0.04
2259,-0.36,0.94,-0.05
2273,-0.35,0.94,-0.05
2287,-0.35,0.95,-0.05
2301,-0.35,0.95,-0.05
2314,-0.35,0.95,-0.05
2328,-0.36,0.94,-0.04
2341,-0.36,0.94,-0.04
2355,-0.36,0.93,-0.04
2369,-0.36,0.93,-0.04
2382,-0.36,0.93,-0.04
2396,-0.37,0.93,-0.04
2410,-0.37,0.92,-0.04
2424,-0.36,0.92,-0.04
2438,-0.36,0.91,-0.03
2452,-0.37,0.91,-0.03
2466,-0.36,0.92,-0.02
2480,-0.37,0.93,-0.03
2494,-0.37,0.93,-0.03
2507,-0.36,0.92,-0.03
2521,-0.36,0.90,-0.03
2535,-0.37,0.90,-0.03
2548,-0.37,0.91,-0.04
2562,-0.37,0.91,-0.03
2576,-0.36,0.92,-0.03
2590,-0.36,0.93,-0.03
2604,-0.36,0.94,-0.03
2618,-0.36,0.95,-0.03
2632,-0.36,0.94,-0.03
2646,-0.35,0.94,-0.03
2660,-0.35,0.94,-0.04
