timestamp,accX,accY,accZ
2,0.98,0.04,0.03
15,0.98,0.03,0.03
29,0.99,0.02,0.03
42,0.99,0.02,0.02
55,0.99,0.04,0.02
68,0.98,0.04,0.01
81,0.99,0.04,0.01
94,0.99,0.03,0.02
107,0.99,0.03,0.02
121,0.99,0.02,0.02
134,0.99,0.02,0.03
148,0.99,0.02,0.02
161,0.99,0.02,0.02
174,0.99,0.02,0.02
187,0.99,0.02,0.02
200,1.00,0.02,0.02
213,1.00,0.02,0.02
226,1.00,0.02,0.02
239,1.00,0.02,0.02
252,1.00,0.02,0.02
266,1.00,0.03,0.02
279,1.00,0.03,0.02
292,1.00,0.03,0.02
305,1.01,0.04,0.02
318,1.01,0.04,0.02
331,1.02,0.05,0.01
344,1.01,0.05,0.01
357,1.00,0.05,0.01
371,1.00,0.04,0.01
384,0.99,0.04,0.01
397,0.98,0.02,0.01
410,0.98,0.02,0.01
424,0.97,0.00,0.00
437,0.96,-0.00,0.00
451,0.94,-0.02,0.00
464,0.93,-0.04,0.00
477,0.90,-0.09,0.00
491,0.88,-0.14,0.01
505,0.87,-0.16,0.02
519,0.87,-0.19,0.01
533,0.84,-0.18,0.01
547,0.83,-0.17,0.00
560,0.82,-0.14,-0.01
574,0.82,-0.13,-0.01
588,0.82,-0.09,-0.02
602,0.81,-0.04,-0.03
615,0.81,-0.02,-0.04
629,0.80,0.03,-0.04
642,0.80,0.05,-0.03
656,0.80,0.09,-0.03
669,0.80,0.13,-0.02
683,0.80,0.16,-0.01
696,0.81,0.20,-0.01
710,0.81,0.23,-0.01
724,0.80,0.28,0.01
738,0.79,0.32,0.02
751,0.79,0.34,0.03
764,0.79,0.37,0.05
777,0.79,0.38,0.05
791,0.77,0.42,0.07
804,0.77,0.44,0.07
817,0.78,0.47,0.08
830,0.77,0.48,0.09
843,0.76,0.51,0.11
857,0.76,0.53,0.12
870,0.76,0.55,0.11
883,0.73,0.57,0.10
897,0.71,0.57,0.10
910,0.70,0.56,0.11
923,0.69,0.56,0.12
937,0.69,0.58,0.13
950,0.68,0.61,0.10
963,0.68,0.66,0.11
976,0.67,0.70,0.07
989,0.65,0.71,0.07
1002,0.62,0.70,0.07
1015,0.60,0.69,0.07
1028,0.58,0.69,0.09
1041,0.58,0.69,0.09
1055,0.57,0.73,0.07
1068,0.56,0.74,0.05
1081,0.53,0.74,0.04
1095,0.51,0.73,0.04
1109,0.47,0.72,0.05
1122,0.44,0.73,0.07
1135,0.43,0.75,0.07
1149,0.42,0.81,0.05
1163,0.40,0.82,0.05
1176,0.34,0.87,0.07
1189,0.34,0.90,0.09
1202,0.33,0.91,0.10
1215,0.32,0.94,0.12
1229,0.30,0.94,0.13
1243,0.27,0.95,0.14
1256,0.26,0.95,0.15
1269,0.23,0.99,0.16
1282,0.21,1.01,0.15
1295,0.18,1.04,0.16
1308,0.16,1.04,0.17
1321,0.15,1.04,0.17
1334,0.14,1.05,0.19
1347,0.10,1.07,0.17
1360,0.08,1.09,0.15
1373,0.06,1.10,0.14
1386,0.03,1.09,0.14
1399,0.02,1.08,0.15
1412,0.01,1.08,0.15
1425,0.01,1.08,0.14
1438,-0.01,1.10,0.13
1451,-0.02,1.11,0.12
1465,-0.04,1.11,0.11
1478,-0.05,1.14,0.09
1492,-0.09,1.14,0.09
1505,-0.11,1.16,0.08
1519,-0.11,1.15,0.09
1533,-0.10,1.15,0.11
1547,-0.09,1.14,0.13
1561,-0.10,1.14,0.15
1574,-0.12,1.14,0.17
1588,-0.13,1.15,0.17
1601,-0.16,1.15,0.16
1615,-0.17,1.15,0.15
1629,-0.22,1.12,0.13
1643,-0.24,1.08,0.11
1657,-0.25,1.05,0.09
1671,-0.25,1.03,0.06
1684,-0.26,1.04,0.01
1698,-0.27,1.04,-0.01
1712,-0.27,1.03,-0.01
1725,-0.27,1.04,-0.01
1738,-0.28,1.06,0.01
1751,-0.27,1.07,0.02
1765,-0.26,1.08,0.03
1778,-0.25,1.10,0.05
1792,-0.25,1.11,0.06
1805,-0.25,1.13,0.08
1819,-0.24,1.15,0.07
1832,-0.23,1.19,0.07
1845,-0.24,1.20,0.06
1858,-0.25,1.20,0.04
1871,-0.25,1.18,0.05
1885,-0.26,1.15,0.04
1898,-0.28,1.12,0.02
1911,-0.29,1.10,0.01
1925,-0.31,1.07,-0.01
1939,-0.32,1.04,-0.01
1953,-0.33,1.00,-0.01
1967,-0.34,0.98,-0.01
1981,-0.34,0.97,-0.01
1995,-0.35,0.96,-0.01
2009,-0.36,0.94,0.00
2022,-0.36,0.94,0.00
2036,-0.37,0.94,0.01
2050,-0.37,0.94,0.01
2064,-0.37,0.94,0.02
2078,-0.37,0.93,0.03
2091,-0.37,0.93,0.03
2105,-0.37,0.92,0.03
2119,-0.38,0.92,0.03
2132,-0.38,0.91,0.03
2145,-0.37,0.90,0.02
2158,-0.37,0.90,0.02
2171,-0.39,0.91,0.01
2185,-0.38,0.90,0.02
2199,-0.37,0.88,0.03
2213,-0.35,0.87,0.04
2226,-0.34,0.88,0.05
2239,-0.34,0.92,0.06
2253,-0.34,0.93,0.06
2267,-0.34,0.97,0.06
2280,-0.34,0.99,0.06
2293,-0.34,1.00,0.06
2307,-0.35,0.99,0.05
2321,-0.35,0.98,0.05
2335,-0.35,0.94,0.06
2349,-0.36,0.91,0.06
2362,-0.35,0.90,0.07
2375,-0.35,0.90,0.06
2389,-0.36,0.91,0.05
2402,-0.37,0.91,0.03
2416,-0.37,0.90,0.03
2429,-0.36,0.89,0.02
2442,-0.36,0.89,0.01
2456,-0.35,0.89,0.00
2469,-0.35,0.90,-0.01
2482,-0.34,0.90,-0.01
2496,-0.33,0.90,-0.02
2510,-0.34,0.91,-0.02
2523,-0.33,0.91,-0.02
2537,-0.33,0.90,-0.01
2551,-0.33,0.90,-0.01
2565,-0.33,0.90,-0.01
2579,-0.33,0.92,-0.01
2593,-0.34,0.92,-0.01
2607,-0.34,0.92,-0.00
2621,-0.34,0.92,0.00
2635,-0.34,0.92,0.01
2648,-0.34,0.90,0.02
2662,-0.34,0.90,0.03
2676,-0.34,0.89,0.04
