timestamp,accX,accY,accZ
2,0.95,0.25,0.03
16,0.95,0.25,0.04
29,0.95,0.26,0.03
42,0.95,0.26,0.03
55,0.95,0.25,0.04
68,0.95,0.25,0.04
81,0.96,0.24,0.05
94,0.96,0.24,0.05
107,0.96,0.25,0.05
120,0.96,0.26,0.04
133,0.96,0.26,0.04
146,0.96,0.26,0.04
159,0.97,0.26,0.04
172,0.98,0.26,0.05
185,0.98,0.26,0.05
198,0.99,0.27,0.05
211,0.99,0.29,0.05
224,0.99,0.30,0.07
237,0.98,0.30,0.08
251,0.97,0.29,0.11
264,0.95,0.29,0.14
277,0.94,0.26,0.18
290,0.93,0.26,0.20
303,0.91,0.23,0.24
316,0.89,0.22,0.25
329,0.86,0.19,0.28
342,0.83,0.15,0.30
355,0.82,0.13,0.31
369,0.79,0.10,0.32
382,0.78,0.08,0.32
395,0.76,0.05,0.33
408,0.75,0.04,0.32
422,0.74,0.04,0.31
435,0.74,0.06,0.29
448,0.73,0.09,0.23
461,0.72,0.09,0.17
474,0.71,0.10,0.14
487,0.71,0.09,0.09
500,0.70,0.10,0.06
513,0.70,0.15,-0.01
526,0.70,0.17,-0.04
539,0.71,0.24,-0.10
552,0.70,0.28,-0.13
565,0.71,0.35,-0.18
579,0.72,0.37,-0.19
592,0.76,0.42,-0.24
606,0.75,0.46,-0.27
620,0.74,0.49,-0.27
633,0.75,0.49,-0.26
646,0.75,0.49,-0.25
659,0.75,0.47,-0.25
672,0.74,0.47,-0.25
686,0.73,0.49,-0.27
699,0.71,0.51,-0.27
712,0.71,0.56,-0.28
725,0.72,0.58,-0.28
739,0.72,0.62,-0.29
752,0.71,0.63,-0.30
766,0.70,0.63,-0.31
779,0.68,0.62,-0.34
792,0.68,0.63,-0.34
805,0.67,0.66,-0.36
819,0.66,0.69,-0.37
833,0.68,0.74,-0.40
846,0.67,0.81,-0.42
859,0.68,0.83,-0.44
873,0.69,0.87,-0.47
887,0.69,0.88,-0.47
901,0.67,0.88,-0.46
914,0.68,0.89,-0.46
927,0.67,0.90,-0.46
940,0.67,0.91,-0.46
953,0.66,0.92,-0.46
966,0.62,0.91,-0.45
979,0.61,0.91,-0.44
992,0.60,0.93,-0.43
1005,0.60,0.93,-0.41
1018,0.60,0.94,-0.39
1031,0.59,0.95,-0.37
1044,0.58,0.97,-0.35
1057,0.57,0.99,-0.34
1070,0.54,1.02,-0.32
1083,0.54,1.03,-0.30
1096,0.54,1.05,-0.28
1109,0.54,1.06,-0.27
1123,0.54,1.08,-0.24
1136,0.53,1.09,-0.22
1149,0.53,1.08,-0.20
1163,0.53,1.07,-0.18
1177,0.52,1.07,-0.17
1190,0.52,1.08,-0.15
1203,0.51,1.10,-0.12
1216,0.51,1.13,-0.11
1230,0.52,1.14,-0.08
1244,0.52,1.14,-0.09
1257,0.51,1.13,-0.07
1270,0.50,1.12,-0.05
1283,0.51,1.10,-0.02
1297,0.50,1.11,-0.00
1311,0.51,1.12,0.02
1324,0.52,1.16,0.04
1337,0.52,1.17,0.07
1350,0.52,1.17,0.12
1363,0.52,1.17,0.14
1376,0.52,1.14,0.19
1389,0.52,1.13,0.22
1402,0.52,1.11,0.27
1415,0.52,1.10,0.29
1428,0.53,1.08,0.34
1441,0.53,1.07,0.37
1454,0.54,1.07,0.40
1468,0.53,1.06,0.42
1481,0.52,1.04,0.43
1494,0.53,1.01,0.44
1508,0.53,0.99,0.45
1521,0.52,0.98,0.48
1534,0.52,0.97,0.49
1547,0.53,0.95,0.52
1560,0.53,0.94,0.52
1573,0.54,0.91,0.52
1587,0.53,0.88,0.52
1600,0.53,0.86,0.51
1613,0.52,0.82,0.51
1626,0.53,0.80,0.50
1639,0.54,0.77,0.49
1652,0.54,0.76,0.47
1665,0.55,0.75,0.45
1678,0.55,0.74,0.44
1691,0.55,0.72,0.43
1704,0.55,0.72,0.43
1717,0.56,0.70,0.42
1730,0.56,0.68,0.42
1744,0.57,0.64,0.42
1757,0.56,0.61,0.41
1770,0.57,0.58,0.40
1783,0.58,0.55,0.39
1796,0.58,0.53,0.39
1809,0.58,0.51,0.38
1822,0.59,0.49,0.38
1835,0.60,0.48,0.35
1848,0.60,0.47,0.34
1861,0.60,0.44,0.33
1874,0.59,0.42,0.33
1887,0.59,0.39,0.31
1900,0.60,0.37,0.31
1913,0.62,0.33,0.30
1926,0.63,0.33,0.28
1939,0.64,0.31,0.23
1952,0.65,0.29,0.21
1965,0.64,0.25,0.19
1978,0.64,0.23,0.18
1991,0.65,0.20,0.17
2004,0.67,0.19,0.16
2017,0.69,0.19,0.10
2030,0.69,0.20,0.08
2043,0.69,0.20,0.06
2056,0.71,0.20,0.04
2069,0.73,0.20,0.03
2082,0.76,0.21,0.00
2096,0.77,0.21,-0.02
2110,0.77,0.24,-0.07
2124,0.78,0.25,-0.11
2137,0.80,0.25,-0.12
2151,0.82,0.26,-0.13
2165,0.83,0.27,-0.13
2179,0.87,0.30,-0.16
2192,0.88,0.32,-0.22
2206,0.87,0.34,-0.24
2220,0.87,0.31,-0.24
2233,0.87,0.29,-0.23
2246,0.90,0.28,-0.21
2259,0.91,0.28,-0.19
2272,0.92,0.30,-0.20
2286,0.93,0.34,-0.20
2300,0.93,0.36,-0.20
2313,0.95,0.41,-0.20
2326,0.97,0.43,-0.20
2339,1.00,0.46,-0.19
2352,1.01,0.47,-0.19
2366,1.00,0.46,-0.17
2380,1.00,0.44,-0.15
2394,1.00,0.44,-0.14
2408,1.00,0.45,-0.14
2422,1.00,0.45,-0.15
2436,1.00,0.46,-0.15
2450,0.99,0.44,-0.15
2463,0.98,0.44,-0.15
2477,0.96,0.42,-0.13
2490,0.95,0.41,-0.13
2504,0.96,0.41,-0.12
2518,0.96,0.41,-0.14
2531,0.95,0.41,-0.14
2545,0.94,0.40,-0.13
2558,0.94,0.39,-0.12
2572,0.93,0.39,-0.11
2586,0.95,0.38,-0.10
2599,0.95,0.38,-0.10
2612,0.93,0.39,-0.09
2626,0.93,0.38,-0.09
2640,0.93,0.38,-0.07
