timestamp,accX,accY,accZ
2,0.85,0.31,1.03
16,0.87,0.33,1.08
30,0.85,0.29,1.06
44,0.82,0.16,0.88
57,0.80,0.09,0.77
71,0.80,-0.08,0.55
85,0.79,-0.16,0.30
99,0.78,-0.29,0.21
113,0.77,-0.38,0.08
126,0.76,-0.39,0.05
140,0.76,-0.33,0.10
154,0.77,-0.24,0.26
168,0.77,-0.17,0.37
182,0.78,-0.01,0.65
196,0.79,0.19,0.94
209,0.82,0.25,1.04
223,0.83,0.31,1.16
236,0.84,0.30,1.15
250,0.81,0.20,1.00
264,0.81,0.12,0.89
278,0.79,-0.03,0.63
292,0.78,-0.17,0.37
306,0.77,-0.24,0.27
320,0.76,-0.31,0.14
334,0.75,-0.30,0.13
348,0.75,-0.27,0.19
362,0.78,-0.04,0.50
376,0.83,0.26,0.89
390,0.83,0.36,1.05
404,0.89,0.35,1.18
418,0.83,0.27,1.05
432,0.83,0.18,0.94
445,0.83,-0.03,0.66
459,0.81,-0.10,0.49
473,0.78,-0.24,0.20
487,0.77,-0.34,0.02
500,0.78,-0.37,-0.02
514,0.79,-0.36,-0.03
527,0.80,-0.32,-0.01
541,0.81,-0.21,0.13
554,0.82,-0.14,0.38
568,0.84,0.06,0.52
582,0.86,0.26,0.83
596,0.88,0.34,0.95
610,0.88,0.40,1.07
623,0.86,0.34,1.03
636,0.84,0.28,0.95
649,0.82,0.12,0.75
662,0.80,0.04,0.63
676,0.78,-0.12,0.42
690,0.78,-0.20,0.34
704,0.78,-0.30,0.19
718,0.78,-0.34,0.12
732,0.77,-0.34,0.12
746,0.78,-0.27,0.22
760,0.77,-0.12,0.45
774,0.78,-0.04,0.62
787,0.80,0.17,0.97
800,0.81,0.25,1.10
814,0.81,0.29,1.25
828,0.79,0.22,1.17
842,0.77,0.16,1.06
856,0.76,0.00,0.78
869,0.76,-0.08,0.62
883,0.77,-0.24,0.31
896,0.77,-0.36,0.10
910,0.78,-0.39,0.03
924,0.77,-0.36,-0.02
938,0.79,-0.25,0.08
952,0.80,-0.18,0.17
966,0.81,0.00,0.42
980,0.82,0.11,0.59
993,0.85,0.30,0.91
1007,0.86,0.41,1.14
1021,0.86,0.42,1.19
1034,0.84,0.36,1.14
1048,0.82,0.31,1.05
1061,0.79,0.13,0.80
1074,0.79,0.03,0.50
1087,0.76,-0.14,0.38
1101,0.77,-0.28,0.21
1115,0.77,-0.31,0.15
1128,0.78,-0.32,0.10
1142,0.78,-0.30,0.12
1156,0.79,-0.23,0.22
1170,0.79,-0.10,0.43
1184,0.81,-0.01,0.57
1198,0.82,0.17,0.87
1212,0.84,0.25,1.05
1225,0.84,0.24,1.07
1239,0.82,0.17,0.98
1252,0.80,0.10,0.90
1265,0.77,-0.05,0.66
1278,0.76,-0.13,0.55
1291,0.75,-0.27,0.37
1305,0.75,-0.33,0.25
1318,0.76,-0.33,0.21
1332,0.77,-0.31,0.22
1346,0.77,-0.28,0.27
1360,0.76,-0.16,0.47
1373,0.79,-0.01,0.76
1387,0.78,0.08,0.91
1400,0.81,0.16,1.09
1413,0.82,0.15,1.12
1426,0.81,0.09,0.99
1440,0.80,0.03,0.87
1454,0.78,-0.09,0.58
1468,0.78,-0.18,0.35
1482,0.78,-0.22,0.27
1495,0.79,-0.23,0.16
1508,0.80,-0.23,0.15
1521,0.83,-0.19,0.18
1534,0.82,-0.14,0.24
1548,0.83,0.02,0.47
1561,0.86,0.17,0.73
1574,0.87,0.21,0.83
1588,0.89,0.23,0.92
1602,0.88,0.21,0.91
1615,0.85,0.12,0.77
1628,0.84,0.04,0.69
1641,0.81,-0.09,0.49
1655,0.79,-0.20,0.33
1669,0.78,-0.24,0.28
1683,0.79,-0.27,0.24
1697,0.79,-0.23,0.31
1711,0.78,-0.18,0.39
1725,0.80,-0.07,0.62
1739,0.82,-0.02,0.79
1752,0.83,0.02,0.84
1765,0.82,0.02,0.84
1778,0.80,0.01,0.82
1791,0.78,-0.04,0.76
1804,0.78,-0.07,0.71
