timestamp,accX,accY,accZ
2,0.98,0.09,0.02
15,0.98,0.08,0.02
29,0.98,0.08,0.02
42,0.99,0.08,0.02
55,0.99,0.09,0.01
69,0.99,0.09,0.00
82,0.99,0.09,-0.01
96,0.99,0.09,-0.01
110,0.99,0.10,-0.02
123,0.99,0.10,-0.02
137,0.99,0.10,-0.02
151,0.99,0.09,-0.02
164,0.99,0.08,-0.02
178,0.99,0.07,-0.01
192,0.99,0.06,-0.01
206,1.00,0.06,-0.01
219,1.00,0.07,-0.00
232,0.99,0.07,-0.00
245,1.00,0.08,-0.00
258,0.99,0.08,-0.00
271,0.99,0.08,0.00
285,0.98,0.08,0.01
299,0.98,0.07,0.02
312,0.97,0.05,0.03
325,0.95,0.04,0.03
339,0.94,0.01,0.04
352,0.91,-0.01,0.04
366,0.88,-0.10,0.06
380,0.88,-0.15,0.06
394,0.86,-0.14,0.04
407,0.81,-0.13,0.00
421,0.79,-0.14,-0.00
435,0.78,-0.15,-0.01
448,0.77,-0.12,-0.01
462,0.78,-0.09,-0.01
476,0.81,-0.01,-0.03
490,0.84,0.09,-0.06
504,0.86,0.16,-0.07
518,0.88,0.28,-0.10
532,0.88,0.32,-0.11
546,0.87,0.36,-0.10
559,0.89,0.35,-0.09
572,0.89,0.35,-0.09
586,0.87,0.36,-0.08
600,0.87,0.36,-0.09
614,0.86,0.36,-0.06
627,0.85,0.35,-0.04
640,0.84,0.34,-0.03
653,0.83,0.33,-0.02
666,0.82,0.34,-0.01
679,0.80,0.35,-0.00
692,0.79,0.35,-0.00
706,0.78,0.37,0.00
719,0.77,0.37,0.00
732,0.77,0.41,0.00
745,0.77,0.44,-0.00
759,0.76,0.52,-0.02
773,0.73,0.58,-0.04
787,0.73,0.59,-0.04
801,0.70,0.59,-0.04
815,0.70,0.60,-0.04
828,0.69,0.61,-0.04
841,0.66,0.66,-0.06
855,0.64,0.68,-0.07
869,0.63,0.69,-0.07
883,0.61,0.71,-0.07
896,0.61,0.72,-0.07
910,0.59,0.73,-0.09
923,0.58,0.74,-0.10
937,0.57,0.76,-0.13
951,0.55,0.79,-0.15
965,0.54,0.80,-0.15
978,0.53,0.81,-0.15
992,0.52,0.81,-0.15
1005,0.53,0.85,-0.15
1019,0.51,0.88,-0.16
