timestamp,accX,accY,accZ
2,0.99,0.04,-0.00
16,1.00,0.04,-0.00
30,1.00,0.04,-0.00
44,1.01,0.06,-0.01
57,1.01,0.06,-0.01
71,1.00,0.07,-0.01
84,1.00,0.06,-0.00
98,1.00,0.05,0.00
111,1.00,0.04,0.01
125,1.00,0.03,0.01
139,1.00,0.03,0.02
152,0.99,0.04,0.02
165,0.99,0.04,0.02
178,0.97,0.02,0.01
191,0.96,0.00,0.01
204,0.94,-0.06,0.02
218,0.93,-0.09,0.02
232,0.91,-0.14,0.02
245,0.89,-0.14,0.02
258,0.86,-0.16,0.01
271,0.85,-0.16,0.01
285,0.84,-0.16,0.00
299,0.85,-0.13,0.00
312,0.84,-0.11,0.00
325,0.85,-0.06,-0.00
339,0.84,-0.02,-0.01
352,0.82,0.06,-0.02
366,0.81,0.12,-0.02
380,0.81,0.13,-0.02
393,0.82,0.17,-0.02
407,0.82,0.18,-0.02
420,0.82,0.22,-0.03
434,0.81,0.25,-0.03
448,0.80,0.26,-0.04
462,0.78,0.28,-0.04
476,0.78,0.29,-0.03
490,0.79,0.29,-0.03
503,0.78,0.32,-0.03
517,0.77,0.34,-0.04
531,0.76,0.36,-0.04
545,0.75,0.38,-0.04
559,0.75,0.39,-0.04
572,0.73,0.41,-0.03
586,0.73,0.42,-0.02
599,0.72,0.45,-0.02
612,0.71,0.47,-0.02
626,0.68,0.50,-0.01
640,0.65,0.52,0.01
653,0.65,0.53,0.02
666,0.64,0.55,0.04
680,0.64,0.57,0.01
693,0.62,0.63,0.02
706,0.61,0.69,-0.00
719,0.60,0.71,-0.01
732,0.56,0.75,-0.02
745,0.54,0.75,-0.01
758,0.52,0.74,0.02
771,0.52,0.74,0.04
784,0.50,0.78,0.04
797,0.50,0.80,0.04
810,0.50,0.84,0.04
823,0.49,0.86,0.05
836,0.46,0.89,0.06
849,0.45,0.91,0.07
862,0.42,0.97,0.09
875,0.43,1.01,0.09
888,0.45,1.07,0.08
901,0.45,1.11,0.06
914,0.44,1.15,0.04
928,0.43,1.13,0.06
941,0.42,1.10,0.07
954,0.40,1.05,0.10
967,0.38,1.03,0.10
980,0.34,1.00,0.10
993,0.33,0.98,0.10
1006,0.29,0.98,0.08
1019,0.27,0.97,0.08
1032,0.25,0.95,0.09
1045,0.26,1.00,0.05
1059,0.23,1.04,0.01
1072,0.21,1.03,0.02
1085,0.20,1.02,0.02
1098,0.19,1.02,0.03
1111,0.19,1.02,0.02
1124,0.16,1.04,-0.03
1137,0.14,1.04,-0.04
1150,0.10,1.01,-0.03
1163,0.08,0.99,-0.02
1176,0.08,0.97,0.01
1189,0.08,0.97,0.01
1202,0.07,0.98,0.02
1215,0.07,0.99,0.02
1228,0.06,1.02,-0.00
1241,0.04,1.02,-0.01
1254,-0.01,1.02,-0.02
1267,-0.02,1.01,-0.02
1281,-0.06,1.00,-0.02
1295,-0.08,1.00,-0.01
1309,-0.07,1.02,-0.02
1323,-0.07,1.05,-0.03
1336,-0.06,1.06,-0.03
1349,-0.04,1.03,-0.01
1363,-0.13,1.12,-0.08
1376,-0.17,1.14,-0.09
1390,-0.21,1.17,-0.11
1404,-0.19,1.15,-0.11
1418,-0.18,1.06,-0.08
1432,-0.23,1.02,-0.06
1445,-0.24,1.01,-0.05
1458,-0.23,1.05,-0.08
1472,-0.22,1.08,-0.11
1486,-0.25,1.09,-0.13
1500,-0.28,1.05,-0.11
1513,-0.29,1.03,-0.10
1527,-0.30,1.00,-0.09
1540,-0.28,1.01,-0.09
1554,-0.28,1.03,-0.10
1567,-0.28,1.03,-0.08
1580,-0.29,1.05,-0.06
1594,-0.28,1.09,-0.04
1608,-0.28,1.12,-0.04
1621,-0.25,1.18,-0.04
1634,-0.25,1.21,-0.04
1647,-0.26,1.24,-0.04
1660,-0.24,1.27,-0.04
1673,-0.23,1.30,-0.03
1686,-0.21,1.29,-0.03
1700,-0.20,1.27,-0.05
1714,-0.23,1.22,-0.07
1727,-0.25,1.18,-0.07
1740,-0.29,1.12,-0.09
1753,-0.31,1.09,-0.09
1767,-0.34,1.04,-0.10
1780,-0.34,1.01,-0.10
1794,-0.36,0.98,-0.11
1807,-0.37,0.95,-0.11
1820,-0.38,0.95,-0.11
1833,-0.40,0.94,-0.11
1847,-0.39,0.94,-0.11
1860,-0.38,0.92,-0.10
1873,-0.37,0.91,-0.10
1886,-0.38,0.90,-0.09
1899,-0.39,0.89,-0.09
1913,-0.39,0.89,-0.08
1926,-0.39,0.89,-0.08
1939,-0.39,0.89,-0.07
1952,-0.39,0.89,-0.06
1966,-0.38,0.89,-0.06
1980,-0.38,0.89,-0.05
1994,-0.39,0.88,-0.04
2007,-0.39,0.88,-0.04
2020,-0.39,0.87,-0.04
2033,-0.39,0.87,-0.03
2047,-0.39,0.87,-0.04
2060,-0.39,0.88,-0.04
2073,-0.39,0.87,-0.04
2086,-0.39,0.87,-0.04
2099,-0.39,0.87,-0.04
2112,-0.39,0.87,-0.04
2125,-0.38,0.87,-0.04
2138,-0.38,0.87,-0.04
2152,-0.38,0.88,-0.05
2166,-0.37,0.89,-0.05
2179,-0.38,0.89,-0.05
2192,-0.38,0.90,-0.06
2205,-0.38,0.90,-0.06
2218,-0.37,0.90,-0.06
2232,-0.36,0.90,-0.06
2245,-0.35,0.91,-0.07
2258,-0.36,0.92,-0.08
2272,-0.36,0.92,-0.08
2286,-0.35,0.92,-0.08
2299,-0.35,0.92,-0.08
2312,-0.36,0.93,-0.09
2326,-0.36,0.92,-0.09
2339,-0.35,0.92,-0.09
2352,-0.35,0.93,-0.09
2365,-0.35,0.93,-0.09
2379,-0.35,0.93,-0.09
2392,-0.34,0.92,-0.08
2405,-0.34,0.93,-0.08
2418,-0.35,0.93,-0.08
2431,-0.35,0.94,-0.08
2445,-0.35,0.94,-0.08
2458,-0.36,0.94,-0.07
2471,-0.36,0.92,-0.07
2484,-0.35,0.92,-0.07
2497,-0.35,0.93,-0.07
2510,-0.36,0.93,-0.07
2524,-0.36,0.92,-0.07
2537,-0.36,0.91,-0.07
2550,-0.35,0.91,-0.07
2564,-0.35,0.92,-0.07
2577,-0.35,0.93,-0.07
2590,-0.35,0.93,-0.07
2603,-0.36,0.92,-0.07
2616,-0.36,0.92,-0.07
2630,-0.36,0.93,-0.07
2643,-0.35,0.93,-0.07
2656,-0.35,0.93,-0.08
