timestamp,accX,accY,accZ
2,0.78,-0.25,0.58
16,0.78,-0.25,0.57
30,0.78,-0.25,0.57
44,0.78,-0.25,0.56
58,0.78,-0.25,0.56
72,0.78,-0.25,0.56
85,0.78,-0.26,0.56
98,0.78,-0.26,0.56
112,0.78,-0.26,0.56
126,0.78,-0.26,0.56
140,0.78,-0.26,0.56
154,0.78,-0.26,0.56
168,0.78,-0.26,0.56
182,0.79,-0.25,0.57
195,0.79,-0.25,0.57
208,0.79,-0.24,0.57
222,0.79,-0.24,0.57
236,0.79,-0.24,0.57
249,0.79,-0.24,0.57
263,0.79,-0.24,0.56
277,0.79,-0.23,0.55
290,0.80,-0.23,0.55
304,0.80,-0.23,0.55
318,0.80,-0.23,0.55
332,0.82,-0.22,0.55
345,0.85,-0.19,0.57
359,0.85,-0.15,0.57
373,0.87,-0.10,0.56
386,0.87,-0.09,0.59
399,0.78,-0.14,0.62
413,0.58,-0.45,0.83
427,0.46,-0.65,0.87
441,0.37,-0.94,0.73
455,0.54,-1.13,0.45
468,0.39,-1.11,0.46
482,0.35,-1.12,0.58
496,0.40,-0.97,0.58
510,0.57,-0.43,0.55
524,0.82,0.29,0.53
538,0.96,0.63,0.51
552,1.19,1.13,0.47
566,1.36,1.36,0.37
579,1.42,1.40,0.31
593,1.44,1.35,0.17
607,1.41,1.25,0.10
620,1.30,1.00,-0.00
633,1.23,0.85,-0.03
647,1.03,0.51,-0.01
661,0.81,0.10,0.07
675,0.69,-0.13,0.17
689,0.46,-0.68,0.41
703,0.28,-1.14,0.61
717,0.23,-1.37,0.70
731,0.08,-1.71,0.80
744,0.07,-1.81,0.84
758,0.04,-1.70,0.90
771,0.10,-1.33,0.92
785,0.17,-1.09,0.91
799,0.37,-0.54,0.84
813,0.68,0.02,0.73
827,0.86,0.34,0.66
840,1.19,0.96,0.54
854,1.36,1.22,0.44
867,1.63,1.53,0.18
881,1.70,1.59,-0.02
895,1.64,1.50,-0.09
908,1.35,1.01,-0.08
922,1.15,0.64,0.01
936,0.73,-0.15,0.29
950,0.34,-0.94,0.54
964,0.16,-1.35,0.67
978,-0.06,-1.86,0.83
991,-0.09,-1.96,0.90
1005,-0.02,-1.76,0.97
1019,0.17,-1.26,1.01
1033,0.32,-0.91,0.99
1047,0.67,-0.08,0.79
1061,1.06,0.63,0.53
1075,1.22,0.90,0.41
1088,1.49,1.22,0.15
1102,1.55,1.27,0.06
1116,1.45,1.12,0.05
1130,1.08,0.56,0.24
1144,0.86,0.13,0.37
1158,0.40,-0.75,0.69
1172,-0.02,-1.54,0.99
1186,-0.12,-1.81,1.05
1200,-0.17,-2.01,1.03
1214,-0.10,-1.78,0.98
1228,0.02,-1.50,0.91
1242,0.32,-0.64,0.77
1255,0.52,-0.16,0.68
1269,0.95,0.74,0.44
1282,1.34,1.38,0.18
1296,1.49,1.54,0.07
1310,1.64,1.61,-0.09
1324,1.60,1.42,-0.06
1338,1.42,1.27,-0.03
1352,1.13,0.70,0.05
1365,0.94,0.37,0.14
1379,0.52,-0.35,0.42
1393,0.16,-1.09,0.67
1407,0.06,-1.39,0.73
1421,-0.02,-1.71,0.82
1436,-0.00,-1.70,0.93
1450,0.05,-1.54,0.97
1464,0.26,-0.99,1.00
1478,0.58,-0.26,0.97
1492,0.76,0.10,0.92
1506,1.10,0.74,0.81
1519,1.25,0.98,0.75
1532,1.48,1.29,0.57
1546,1.55,1.35,0.43
1560,1.52,1.29,0.36
1574,1.28,0.91,0.28
1588,1.10,0.59,0.29
1601,0.73,-0.12,0.36
1615,0.36,-0.85,0.51
1628,0.22,-1.17,0.58
1642,-0.04,-1.67,0.74
1656,-0.09,-1.80,0.78
1670,-0.08,-1.79,0.87
1684,0.03,-1.43,1.01
1698,0.15,-1.12,1.04
1712,0.50,-0.33,1.02
1725,0.91,0.54,0.84
1738,1.12,0.94,0.70
1752,1.46,1.46,0.41
1765,1.57,1.58,0.26
1779,1.61,1.55,0.04
1793,1.36,1.13,-0.02
1807,1.18,0.79,-0.02
1821,0.76,-0.00,0.14
1835,0.57,-0.44,0.25
1849,0.19,-1.21,0.47
1863,-0.03,-1.60,0.63
1877,-0.07,-1.68,0.72
1891,-0.06,-1.63,0.92
1905,0.13,-1.22,1.03
1919,0.27,-0.89,1.06
1932,0.64,-0.12,1.04
1945,0.84,0.29,0.99
1959,1.20,1.00,0.80
1973,1.47,1.39,0.54
1986,1.53,1.46,0.41
2000,1.50,1.34,0.19
2014,1.37,1.16,0.13
2028,1.04,0.48,0.07
2042,0.63,-0.31,0.20
2056,0.41,-0.74,0.32
2070,0.09,-1.45,0.52
2084,-0.03,-1.68,0.68
2098,-0.03,-1.72,0.85
2112,0.06,-1.40,1.11
2126,0.30,-0.80,1.26
2140,0.47,-0.44,1.26
2154,0.83,0.26,1.16
2168,0.99,0.82,0.92
2182,1.24,1.00,0.76
2196,1.35,1.11,0.39
2210,1.36,1.08,0.22
2224,1.16,0.76,0.01
2238,0.84,0.10,-0.03
2252,0.64,-0.27,0.03
2266,0.22,-1.07,0.35
2280,0.01,-1.62,0.61
2294,-0.02,-1.69,0.72
2308,0.01,-1.48,1.03
2322,0.20,-0.94,1.25
2336,0.33,-0.63,1.31
2350,0.70,-0.02,1.25
2364,0.88,0.27,1.02
2378,1.18,0.73,0.90
2392,1.36,0.98,0.59
2405,1.41,1.03,0.45
2418,1.37,1.02,0.22
2432,1.23,0.87,0.14
2445,0.87,0.19,0.12
2459,0.41,-0.64,0.28
2473,0.21,-1.06,0.38
2487,-0.06,-1.70,0.55
2501,-0.14,-1.94,0.71
2515,-0.13,-1.89,0.82
2529,0.00,-1.40,1.01
2543,0.13,-1.04,1.07
2557,0.52,-0.23,1.06
2571,0.93,0.54,0.95
2585,1.10,0.84,0.87
2599,1.37,1.17,0.63
2613,1.42,1.16,0.40
2627,1.35,1.03,0.33
2641,1.07,0.54,0.24
2655,0.69,-0.20,0.34
2669,0.48,-0.60,0.44
2683,0.16,-1.28,0.59
2696,0.10,-1.45,0.59
2709,0.07,-1.52,0.71
2723,0.18,-1.15,0.89
2737,0.29,-0.88,0.95
2751,0.57,-0.29,0.99
