timestamp,accX,accY,accZ
2,0.66,-0.01,0.74
16,0.66,-0.01,0.74
29,0.67,-0.00,0.73
43,0.67,0.00,0.72
56,0.67,0.00,0.71
69,0.67,-0.00,0.70
82,0.67,-0.01,0.70
95,0.68,-0.02,0.70
108,0.67,-0.01,0.70
121,0.67,-0.00,0.71
134,0.67,0.01,0.72
148,0.68,0.01,0.74
161,0.68,0.01,0.74
175,0.69,-0.02,0.74
189,0.68,-0.04,0.73
203,0.67,-0.04,0.72
217,0.67,-0.03,0.71
230,0.67,0.00,0.71
244,0.67,0.01,0.72
258,0.67,0.01,0.72
272,0.66,0.00,0.72
285,0.66,-0.01,0.72
299,0.65,-0.04,0.72
312,0.66,-0.05,0.72
325,0.66,-0.07,0.72
338,0.65,-0.07,0.72
351,0.65,-0.06,0.72
364,0.65,-0.05,0.72
377,0.66,-0.03,0.72
390,0.67,-0.03,0.72
403,0.68,-0.01,0.74
416,0.68,-0.01,0.74
430,0.67,0.01,0.75
443,0.67,0.01,0.74
456,0.67,0.01,0.74
470,0.67,-0.00,0.74
483,0.67,-0.01,0.73
496,0.67,-0.01,0.72
509,0.67,-0.02,0.72
522,0.66,-0.03,0.72
536,0.67,-0.04,0.72
550,0.67,-0.03,0.71
563,0.67,-0.01,0.70
576,0.67,-0.00,0.70
589,0.68,0.00,0.71
602,0.69,0.00,0.71
615,0.69,0.01,0.72
628,0.69,0.02,0.72
641,0.68,0.02,0.73
654,0.67,0.03,0.74
667,0.67,0.02,0.73
681,0.67,0.02,0.73
694,0.67,0.00,0.74
708,0.67,-0.01,0.73
722,0.67,-0.01,0.73
736,0.67,-0.02,0.73
750,0.66,-0.02,0.73
764,0.66,-0.03,0.73
777,0.66,-0.02,0.73
791,0.66,-0.01,0.73
804,0.66,-0.00,0.74
817,0.66,-0.00,0.74
830,0.67,0.00,0.74
843,0.68,-0.00,0.74
856,0.68,-0.01,0.74
869,0.67,-0.01,0.74
882,0.66,-0.00,0.73
895,0.66,-0.01,0.72
908,0.66,-0.01,0.72
921,0.66,-0.02,0.71
935,0.66,-0.02,0.71
949,0.66,-0.02,0.71
962,0.66,-0.02,0.71
975,0.66,-0.03,0.71
989,0.66,-0.03,0.72
1002,0.66,-0.02,0.72
1015,0.66,-0.00,0.73
1029,0.66,0.00,0.73
1042,0.67,0.00,0.74
1055,0.67,0.00,0.74
1069,0.68,0.00,0.75
1082,0.68,0.01,0.75
1095,0.68,0.00,0.75
1108,0.67,0.01,0.75
1121,0.67,0.02,0.74
1134,0.67,0.01,0.74
1147,0.67,0.01,0.74
1160,0.67,0.01,0.73
1173,0.67,0.01,0.73
1186,0.67,-0.01,0.73
1200,0.67,-0.02,0.72
1213,0.66,-0.03,0.71
1226,0.66,-0.03,0.71
1240,0.65,-0.03,0.70
1254,0.66,-0.02,0.71
1268,0.67,-0.02,0.71
1282,0.67,-0.01,0.71
1296,0.68,-0.00,0.72
1310,0.67,0.01,0.72
1324,0.66,0.02,0.73
1337,0.66,0.02,0.73
1350,0.66,0.01,0.74
1363,0.67,0.00,0.74
1376,0.67,-0.01,0.74
1389,0.67,-0.01,0.74
1402,0.66,-0.02,0.74
1415,0.67,-0.02,0.74
1428,0.67,-0.01,0.74
1442,0.66,-0.00,0.74
1456,0.66,-0.00,0.74
1470,0.66,0.00,0.73
1483,0.66,-0.03,0.73
1497,0.68,-0.01,0.72
1511,0.68,-0.00,0.73
1525,0.68,-0.00,0.73
1539,0.67,0.01,0.73
1552,0.66,0.01,0.72
1566,0.66,0.01,0.72
1579,0.66,-0.00,0.72
1592,0.66,-0.01,0.72
1605,0.67,-0.02,0.72
1618,0.66,-0.02,0.72
1631,0.67,-0.02,0.72
1644,0.67,-0.02,0.72
1657,0.66,-0.02,0.72
1670,0.66,-0.02,0.72
1683,0.65,-0.01,0.72
1697,0.66,-0.00,0.72
1711,0.67,-0.00,0.72
1724,0.68,-0.00,0.73
1738,0.68,-0.00,0.73
1752,0.67,-0.01,0.74
1765,0.66,-0.01,0.74
1779,0.66,-0.01,0.74
1793,0.66,-0.00,0.75
1807,0.66,-0.00,0.75
1821,0.66,0.00,0.75
1835,0.66,0.00,0.74
1848,0.67,0.00,0.74
1861,0.67,-0.01,0.73
1874,0.67,-0.01,0.73
1887,0.66,-0.00,0.72
1900,0.66,-0.00,0.71
1913,0.66,0.00,0.71
1926,0.66,-0.00,0.72
1939,0.67,-0.01,0.71
1953,0.68,-0.00,0.72
1967,0.68,0.00,0.73
1981,0.67,0.00,0.73
1995,0.66,0.00,0.73
2008,0.66,0.01,0.73
2021,0.66,0.01,0.74
2034,0.67,0.00,0.74
2047,0.67,-0.00,0.74
2061,0.67,0.00,0.74
2075,0.67,0.00,0.73
2088,0.67,-0.00,0.73
2101,0.67,-0.01,0.73
2114,0.66,-0.01,0.72
2127,0.66,-0.00,0.72
2140,0.66,0.00,0.72
2153,0.67,-0.00,0.73
2166,0.68,0.00,0.72
2179,0.68,-0.00,0.73
2192,0.67,-0.01,0.73
2206,0.67,-0.00,0.73
2220,0.66,0.00,0.73
2233,0.66,0.01,0.73
2246,0.66,0.01,0.73
2259,0.67,0.00,0.73
2272,0.67,-0.00,0.73
2286,0.67,-0.01,0.72
2299,0.67,-0.01,0.72
2313,0.67,-0.01,0.72
2326,0.67,-0.01,0.72
2340,0.66,-0.01,0.72
2354,0.66,-0.01,0.73
2367,0.67,-0.01,0.73
2380,0.67,-0.00,0.73
2393,0.68,-0.00,0.73
2406,0.67,-0.00,0.74
2419,0.67,-0.00,0.74
2432,0.66,0.00,0.74
2445,0.66,0.00,0.74
2458,0.66,0.00,0.73
2471,0.66,-0.00,0.73
2485,0.66,-0.01,0.72
2499,0.66,-0.01,0.72
2513,0.66,-0.02,0.72
2527,0.66,-0.02,0.72
2541,0.66,-0.02,0.72
2554,0.66,-0.01,0.72
2567,0.66,0.00,0.72
2580,0.66,0.00,0.73
2594,0.67,0.01,0.74
2608,0.68,0.01,0.74
2622,0.67,0.01,0.74
2635,0.67,0.00,0.74
2648,0.67,-0.00,0.74
2661,0.67,0.00,0.73
