timestamp,accX,accY,accZ
1,0.98,0.01,-0.02
15,0.99,0.02,-0.02
28,0.99,0.03,-0.02
41,1.00,0.04,-0.02
54,1.00,0.04,-0.01
68,1.00,0.05,-0.01
81,1.01,0.05,-0.01
94,1.01,0.05,-0.01
107,1.01,0.05,0.00
121,1.01,0.05,0.00
134,1.01,0.06,0.00
147,1.01,0.05,0.00
161,1.01,0.05,0.01
174,1.01,0.05,0.01
187,1.01,0.04,0.02
200,1.01,0.05,0.02
213,1.01,0.05,0.02
227,1.01,0.05,0.02
241,1.00,0.04,0.02
254,1.00,0.04,0.02
267,1.01,0.04,0.02
281,1.01,0.04,0.02
294,1.00,0.05,0.02
308,0.97,0.05,0.02
321,0.99,0.05,0.02
334,0.98,0.04,0.02
347,0.97,0.03,0.02
360,0.96,0.01,0.02
374,0.95,-0.00,0.03
388,0.93,-0.03,0.03
401,0.91,-0.05,0.03
414,0.89,-0.08,0.03
428,0.86,-0.12,0.02
442,0.87,-0.14,0.02
456,0.88,-0.13,0.01
469,0.87,-0.11,0.00
483,0.88,-0.06,-0.01
497,0.89,-0.01,-0.03
511,0.89,0.00,-0.03
525,0.89,0.03,-0.03
539,0.89,0.05,-0.03
552,0.88,0.06,-0.03
565,0.87,0.08,-0.03
578,0.87,0.09,-0.03
591,0.84,0.11,-0.04
605,0.84,0.11,-0.03
619,0.83,0.12,-0.02
632,0.83,0.13,-0.01
646,0.85,0.14,-0.01
659,0.84,0.20,-0.01
673,0.84,0.23,-0.02
686,0.84,0.30,-0.02
700,0.84,0.31,-0.01
714,0.85,0.33,0.00
727,0.88,0.37,0.02
740,0.88,0.39,0.02
753,0.87,0.44,0.01
767,0.87,0.46,0.01
781,0.85,0.48,0.02
795,0.85,0.47,0.03
808,0.85,0.46,0.03
822,0.85,0.46,0.04
835,0.85,0.47,0.04
848,0.84,0.49,0.04
861,0.84,0.51,0.05
875,0.80,0.55,0.05
888,0.78,0.57,0.05
901,0.78,0.56,0.06
914,0.77,0.54,0.09
928,0.77,0.53,0.09
941,0.77,0.54,0.07
954,0.76,0.57,0.05
967,0.74,0.61,0.01
981,0.72,0.63,0.00
994,0.70,0.63,0.02
1008,0.69,0.65,0.03
1021,0.69,0.66,0.04
1035,0.68,0.68,0.03
1049,0.67,0.68,0.03
1062,0.65,0.70,0.02
1075,0.64,0.71,0.01
1089,0.63,0.74,0.02
1102,0.64,0.77,0.02
1116,0.64,0.79,0.02
1129,0.63,0.84,-0.01
1142,0.62,0.85,-0.02
1156,0.60,0.88,-0.03
1170,0.60,0.90,-0.02
1184,0.60,0.91,-0.02
1197,0.60,0.91,-0.03
1210,0.59,0.91,-0.03
1224,0.56,0.90,-0.04
1238,0.53,0.87,-0.06
