timestamp,accX,accY,accZ
2,0.94,0.28,0.03
15,0.96,0.27,0.03
28,0.96,0.27,0.03
41,0.98,0.28,0.03
55,1.00,0.34,0.01
68,1.00,0.37,-0.01
81,0.99,0.40,-0.02
94,0.98,0.39,-0.02
108,0.97,0.36,-0.01
121,0.97,0.33,-0.00
135,0.96,0.28,0.01
148,0.96,0.25,0.03
161,0.96,0.24,0.04
174,0.96,0.23,0.04
187,0.96,0.22,0.04
200,0.96,0.22,0.06
213,0.96,0.22,0.06
226,0.96,0.23,0.07
239,0.97,0.23,0.08
252,0.99,0.25,0.09
265,0.99,0.26,0.09
278,1.00,0.29,0.10
291,1.00,0.30,0.10
304,1.00,0.34,0.11
317,1.00,0.35,0.12
330,0.99,0.36,0.13
343,0.99,0.36,0.15
356,0.97,0.34,0.18
370,0.95,0.31,0.21
383,0.94,0.29,0.23
396,0.92,0.25,0.27
409,0.91,0.24,0.29
422,0.90,0.22,0.31
435,0.89,0.21,0.31
449,0.88,0.20,0.32
462,0.87,0.20,0.31
475,0.85,0.19,0.29
488,0.85,0.18,0.28
501,0.83,0.18,0.25
515,0.84,0.20,0.21
528,0.83,0.22,0.19
541,0.84,0.25,0.15
554,0.84,0.27,0.12
568,0.83,0.29,0.08
581,0.83,0.29,0.06
594,0.83,0.28,0.04
607,0.83,0.27,0.03
620,0.81,0.26,-0.01
633,0.82,0.24,-0.02
646,0.80,0.23,-0.08
659,0.80,0.22,-0.10
673,0.78,0.21,-0.13
686,0.77,0.20,-0.14
699,0.77,0.20,-0.14
713,0.75,0.20,-0.18
726,0.73,0.20,-0.20
739,0.71,0.17,-0.20
752,0.70,0.17,-0.20
765,0.70,0.19,-0.19
779,0.70,0.26,-0.20
793,0.71,0.30,-0.22
807,0.67,0.41,-0.28
820,0.66,0.43,-0.29
834,0.66,0.45,-0.29
848,0.66,0.46,-0.29
861,0.66,0.48,-0.30
875,0.65,0.52,-0.31
888,0.64,0.54,-0.33
901,0.62,0.57,-0.38
914,0.61,0.58,-0.40
927,0.60,0.58,-0.43
940,0.59,0.59,-0.46
953,0.57,0.62,-0.49
966,0.56,0.63,-0.50
979,0.56,0.62,-0.53
992,0.56,0.61,-0.55
1005,0.55,0.63,-0.57
1018,0.55,0.66,-0.59
1032,0.55,0.68,-0.59
1046,0.54,0.73,-0.60
1059,0.54,0.74,-0.58
1072,0.53,0.74,-0.55
1086,0.52,0.75,-0.51
1099,0.52,0.76,-0.51
1112,0.50,0.82,-0.51
1125,0.50,0.86,-0.52
1138,0.51,0.91,-0.51
1151,0.51,0.94,-0.50
1164,0.52,0.98,-0.49
1177,0.52,0.99,-0.48
1191,0.54,1.04,-0.47
1205,0.53,1.08,-0.48
1218,0.52,1.11,-0.48
1231,0.52,1.10,-0.46
1245,0.54,1.09,-0.44
1258,0.54,1.10,-0.40
1272,0.53,1.10,-0.38
1285,0.54,1.11,-0.34
1298,0.54,1.13,-0.34
1311,0.51,1.14,-0.34
1324,0.50,1.11,-0.32
1337,0.47,1.05,-0.26
1351,0.43,0.99,-0.22
1365,0.42,0.96,-0.20
1379,0.38,0.92,-0.19
1393,0.36,0.87,-0.17
1407,0.33,0.84,-0.16
1420,0.31,0.82,-0.16
1433,0.30,0.83,-0.17
1447,0.30,0.83,-0.18
1460,0.29,0.84,-0.19
1473,0.27,0.87,-0.19
1486,0.27,0.88,-0.19
1500,0.27,0.94,-0.19
1513,0.28,0.99,-0.21
1527,0.28,1.02,-0.21
1540,0.28,1.08,-0.23
1553,0.27,1.09,-0.22
1566,0.25,1.12,-0.20
1579,0.24,1.13,-0.19
1592,0.25,1.15,-0.15
1605,0.26,1.17,-0.14
1618,0.24,1.21,-0.12
1631,0.25,1.22,-0.11
1645,0.26,1.26,-0.08
1659,0.25,1.26,-0.05
1673,0.25,1.27,-0.03
1686,0.26,1.28,0.00
1699,0.27,1.31,0.00
1712,0.28,1.36,0.01
1726,0.28,1.38,0.04
1739,0.28,1.37,0.05
1753,0.28,1.35,0.10
1767,0.28,1.34,0.12
1780,0.29,1.33,0.16
1793,0.30,1.32,0.17
1806,0.31,1.31,0.20
1820,0.32,1.30,0.25
1833,0.33,1.30,0.25
1846,0.34,1.28,0.27
1859,0.34,1.26,0.26
1873,0.35,1.22,0.25
1886,0.35,1.19,0.24
1899,0.36,1.13,0.21
1913,0.37,1.10,0.19
1926,0.38,1.05,0.19
1939,0.40,1.02,0.19
1953,0.42,1.00,0.19
1966,0.44,0.97,0.18
1979,0.46,0.96,0.18
1993,0.47,0.93,0.16
2006,0.48,0.91,0.16
2019,0.49,0.83,0.18
2032,0.50,0.80,0.18
2045,0.51,0.73,0.20
2059,0.54,0.70,0.19
2072,0.56,0.71,0.18
2085,0.59,0.71,0.15
2098,0.60,0.70,0.15
2111,0.61,0.66,0.17
2124,0.63,0.62,0.18
2138,0.65,0.57,0.19
2151,0.65,0.55,0.18
2164,0.68,0.52,0.16
2177,0.69,0.52,0.15
2190,0.69,0.53,0.13
2203,0.71,0.52,0.14
2216,0.73,0.50,0.15
2229,0.74,0.46,0.16
2242,0.75,0.44,0.17
2255,0.76,0.40,0.16
2268,0.77,0.38,0.15
2281,0.78,0.37,0.13
2294,0.79,0.38,0.12
2308,0.81,0.38,0.11
2321,0.81,0.38,0.11
2334,0.82,0.36,0.10
2348,0.83,0.34,0.09
2361,0.83,0.32,0.09
2374,0.83,0.28,0.08
2387,0.83,0.26,0.07
2400,0.84,0.23,0.08
2413,0.85,0.22,0.07
2426,0.84,0.22,0.07
2439,0.85,0.21,0.08
2452,0.85,0.21,0.08
2465,0.86,0.20,0.08
2479,0.86,0.19,0.07
2492,0.87,0.19,0.07
2505,0.87,0.19,0.07
2518,0.87,0.19,0.07
2531,0.87,0.18,0.08
2545,0.86,0.16,0.08
2558,0.87,0.15,0.08
2572,0.86,0.14,0.08
2585,0.86,0.14,0.08
2598,0.85,0.15,0.08
2611,0.86,0.15,0.08
2624,0.85,0.14,0.09
2637,0.86,0.14,0.09
