timestamp,accX,accY,accZ
1,0.45,0.32,0.81
15,0.44,0.33,0.80
29,0.46,0.33,0.80
43,0.47,0.32,0.80
57,0.48,0.32,0.79
70,0.48,0.32,0.79
84,0.46,0.33,0.79
98,0.44,0.33,0.79
112,0.44,0.34,0.79
125,0.45,0.33,0.79
139,0.45,0.32,0.79
152,0.45,0.31,0.80
166,0.46,0.31,0.80
179,0.46,0.30,0.80
192,0.46,0.30,0.80
206,0.46,0.30,0.79
219,0.44,0.30,0.79
232,0.44,0.31,0.79
245,0.44,0.32,0.80
259,0.46,0.32,0.80
273,0.47,0.33,0.80
287,0.47,0.34,0.81
300,0.47,0.35,0.82
313,0.51,0.41,0.85
326,0.52,0.45,0.84
339,0.60,0.57,0.81
353,0.67,0.69,0.76
366,0.70,0.77,0.72
379,0.71,0.86,0.60
393,0.74,0.88,0.54
406,0.68,0.95,0.44
419,0.63,0.99,0.38
433,0.61,0.94,0.31
447,0.51,0.74,0.41
461,0.48,0.62,0.48
474,0.45,0.42,0.60
487,0.41,0.33,0.64
501,0.33,0.18,0.74
514,0.29,0.04,0.93
528,0.16,0.01,1.05
541,0.03,-0.05,1.24
554,-0.01,-0.13,1.34
567,-0.08,-0.35,1.51
581,-0.11,-0.46,1.59
595,-0.13,-0.64,1.73
609,-0.18,-0.61,1.79
623,-0.18,-0.57,1.79
637,-0.17,-0.44,1.73
651,-0.15,-0.28,1.64
665,-0.12,-0.14,1.59
679,-0.04,0.13,1.44
693,0.03,0.37,1.26
707,0.20,0.47,1.16
720,0.37,0.73,0.92
733,0.46,0.87,0.78
746,0.71,1.17,0.49
759,0.83,1.30,0.34
773,1.05,1.45,0.14
787,1.11,1.37,0.03
801,1.11,1.26,0.01
815,1.11,1.03,-0.08
829,1.08,0.91,-0.12
843,0.97,0.62,-0.20
856,0.87,0.30,-0.26
869,0.81,0.16,-0.29
882,0.69,-0.10,-0.36
896,0.65,-0.22,-0.40
910,0.56,-0.48,-0.46
924,0.42,-0.78,-0.40
938,0.35,-0.96,-0.34
951,0.20,-1.27,-0.14
965,0.14,-1.39,-0.02
979,-0.02,-1.51,0.36
992,-0.19,-1.35,0.76
1006,-0.22,-1.23,0.90
1020,-0.22,-0.92,1.15
1034,-0.22,-0.72,1.40
1048,-0.21,-0.29,1.49
1062,-0.12,0.11,1.62
1076,-0.07,0.29,1.61
1090,0.16,0.75,1.52
1104,0.41,1.21,1.32
1118,0.54,1.38,1.16
1131,0.80,1.51,0.87
1144,0.91,1.53,0.73
1157,1.10,1.49,0.48
1171,1.18,1.40,0.28
1185,1.20,1.34,0.19
1199,1.16,1.22,0.10
1212,1.17,1.15,0.06
1225,1.18,1.03,0.00
1238,1.21,1.01,-0.09
1252,1.18,1.01,-0.26
1266,1.14,1.06,-0.38
1280,1.11,1.12,-0.41
1294,1.02,1.19,-0.38
1308,0.90,1.14,-0.27
1322,0.84,1.11,-0.19
1335,0.65,1.11,0.09
1349,0.55,1.11,0.28
1362,0.31,0.94,0.75
1375,0.17,0.77,1.31
1389,-0.02,0.42,1.56
1403,-0.16,0.07,1.94
1417,-0.18,-0.11,2.05
1431,-0.24,-0.46,2.23
1445,-0.29,-0.79,2.27
1459,-0.29,-0.92,2.22
1473,-0.30,-1.06,2.01
1487,-0.28,-1.01,1.71
1501,-0.24,-0.90,1.53
1515,-0.16,-0.63,1.15
1529,-0.02,-0.38,0.79
1543,0.05,-0.27,0.62
1557,0.21,-0.01,0.32
1571,0.30,0.13,0.20
1585,0.49,0.39,0.03
1599,0.66,0.63,-0.05
1613,0.76,0.74,-0.09
1627,0.96,0.89,-0.17
1641,1.11,1.01,-0.21
1655,1.17,1.07,-0.23
1669,1.27,1.16,-0.24
1683,1.33,1.21,-0.22
1697,1.34,1.22,-0.21
1710,1.33,1.24,-0.18
1724,1.31,1.25,-0.17
1738,1.21,1.24,-0.13
1752,1.07,1.18,-0.03
1766,0.97,1.13,0.05
1780,0.76,0.98,0.26
1794,0.54,0.79,0.49
1808,0.43,0.69,0.62
1821,0.20,0.48,0.95
1835,0.13,0.38,1.11
1848,0.06,0.25,1.42
1861,0.03,0.19,1.68
1875,0.00,-0.01,1.81
1889,-0.02,-0.21,1.99
1903,-0.01,-0.31,2.02
1917,0.04,-0.43,2.01
1931,0.09,-0.40,1.90
1944,0.11,-0.33,1.80
1958,0.18,-0.18,1.58
1972,0.23,-0.04,1.35
1986,0.34,0.03,1.25
2000,0.43,0.17,1.04
2014,0.45,0.22,0.92
2028,0.51,0.23,0.68
2041,0.56,0.20,0.50
2054,0.57,0.19,0.41
2067,0.63,0.14,0.25
2080,0.65,0.11,0.18
2094,0.69,-0.02,0.02
2108,0.70,-0.11,-0.05
2122,0.70,-0.28,-0.17
2136,0.70,-0.41,-0.26
2149,0.70,-0.43,-0.29
